esp,ing,parte
"los derechos indígenas sólo se contemplaban en las leyes, pero estas, como tales, por ser de menor jerarquía eran muy vulnerables","nukanchipa runakuna, chi achka iachag pangakunata surkungapa tiarirkakuna, nukanchipa iuiaitami kawachirkakuna, nispa nukanchika sug rigcha iuiai i sug rigcha kaugsaimi iukanchi",favorable
"nadie será sometido a desaparición forzada, a torturas ni a tratos o penas crueles, inhumanos o degradantes",ni pitapas mana,articulos
"el patrimonio arqueológico y otros bienes culturales que conforman la identidad nacional, pertenecen a la nación y son inalienables, inembargables e imprescriptibles",ñupagmanda runakuna ruraspa sakiskata i sug imakuna tiaska mama llagtapami ká,articulos
"para que personas no hablantes de estas lenguas puedan medir el esfuerzo realizado y puedan apreciar el pensamiento indígena, pedimos a los lingüistas que presentarán también una traducción directa al castellano de la traducción en lengua indígena de los principales artículos de la constitución","suraka iskai u kimsa biajimi tapuchispa, tapuchispa ialichingapa nukanchipa",coordinador
"finalmente, dedico este texto a mi madre, a mi esposa, a mis hijos y a mi comunidad",digitalizado por sistema de bibliotecas-universidad de los andes,carta_traductor
la ley establecerá los mecanismos para readquirirlos cuando se encuentren en manos de particulares y reglamentará los derechos especiales que pudieran tener los grupos étnicos asentados en territorios de riqueza arqueológica,"chikunataka mana katudiru kanchu, mana kichungapa pudirinchu, maituku unai nukanchi sakigpipas, nukanchi kikinpami kanga",articulos
"esta parte sirve también a los maestros y estudiosos indígenas de las comunidades que quieran ver cómo se hizo la traducción, con ánimo de mejorarla y de entrar más profundamente en el funcionamiento de su lengua",kada iskai killami bogotapi iacharkanchi tupanakunga,coordinador
nadie será molestado por razón de sus convicciones o creencias ni compelido a revelarlas ni obligado a actuar contra su conciencia,"ni maikanpas mana piñangapa kanchu nukanchipa iuiai u munaimanda, kawachii u willai mana iukanchichu 30  willanga, nukanchi ima iachaska u ima iuiaska terma nukanchillami iukanchi charinakunga",articulos
"recibí con agrado la designación como traductor de algunos apartes de la nueva constitución colombiana a mi lengua nativa, inga",kai achka iachag pangata nukanchipa simipi ialidursina kaikunami munani kamkunata allimanda parlanga:,carta_traductor
la ley garantiza la profesionalización y dignificación de la actividad docente,"iachachigkuna, allilla i sumami iukankuna iachangakuna wamrakunata iachachingapa",articulos
"es deber de los nacionales y de los extranjeros en colombia acatar la constitución y las leyes, y respetar y obedecer a las autoridades","kai i sug atun llagtamanda runakuna, kai kulumbiapi kaugsakuna tukuikunami iukanchi iuianga,imasa achka iachag pangakuna i achka iachag pangakunapa wawa niskasina, upallami iukanchi aja ninga atun taitakunata",articulos
"serán protegidos contra toda forma de abandono, violencia física o moral, secuestro, venta, abuso sexual, explotación laboral o económica y trabajos riesgosos","imasa sitaska kaskakunapas, kawaimi tukungakuna",articulos
"a los lectores; los gobernadores de los cabildos abajo firmantes somos conscientes de la importancia de la traducción de algunos apartes de la nueva constitución nacional de colombia, realizada por el profesor francisco tandioy jansasoy de la universidad de nariño y miembro activo de nuestra comunidad","kai uraladu kalpachispa makiwa kawachispa churagkuna, ubirnadur sutikuna, iachanchimi askurinti ministidu kagta",carta_gobernadores
aparece en la tercera parte de este libro,digitalizado por sistema de bibliotecas-universidad de los andes,coordinador
la constitución es una ley mayor que guía las demás leyes de una nación,"nispami tukui kai atun llagtapi kaugsagkuna, pai imasa mandaskasina ari ningapa chaiá",favorable
la mujer y el hombre tienen iguales derechos y oportunidades,"warmi, kari chasallatami suma iuiaspa i suglla tukuspa iukanchi kaugsanga",articulos
los particulares sólo son responsables ante las autoridades por infringir la constitución y las leyes,"mana kaimanda kaskakuna achka iachag pangakuna i achka iachag pangapa wawapagmami iukankuna ringa iuiai i ainingapa, mana achka iachag pangakuna niskata uiagmanda",articulos
a todos muchas gracias,"ña kai ruraikuna apanakura chaiarkami suraka nukachipura piñanakugsina rimaspa, rimaspa kangapa",coordinador
"sin embargo quedaron todas las otras por fuera de este esfuerzo, algunas con muchos hablantes también","chasa rurangapaka, iacha panganigtami maskaspa nukanchipa simima ialichingapa chaiarka u suraka, sug alpanigmanda iacha runakuna, paikunapa iuiawa imami munarkakuna ninga, chi iuiaikunata apispami iacharkanchi nukanchipa simima ialichinga",coordinador
los padres de familia tendrán derecho de escoger el tipo de educación para sus hijos menores,askurinti alli umami iukankuna kangakuna,articulos
"domingo tandioy chasoy, luis manuel tandioy, mercedes jacanamijoy, jesús carlosama, francisca jacanamijoy, blanca chindoy, cristo simón puerchambud, juan muyuy, esteban jansasoy y otros exgobernadores y demás líderes de la región, quienes siempre estuvieron presentes y prestos a colaborar asistiendo a los seminarios programados","mana chasa kuawagpikunaka, maikan kai achka iachag pangata nukanchipa simipi ialichingapa mañagkunatami iapa pingaiachini",carta_traductor
"todas las personas nacen libres e iguales ante la ley, recibirán la misma protección y trato de las autoridades y gozarán de los mismos derechos, libertades y oportunidades sin ninguna discriminación por razones de sexo, raza, origen nacional o familiar, lengua, religión, opinión política o filosófica","achka iachag pangapa ñawipi tukuikunami sugllasina kanchi,  air iwan ke  tuikunatami atun llagtapi kawagkuna iual maki kuanga, 4500 ñi pitapas mana sugma anchuchispalla, pañaspa imasa nigmanda u iuiagmanda",articulos
"cuando, a fines de 1991, los consejeros del presidente de la república llamaron al centro colombiano de estudios de lenguas aborígenes de la universidad de los andes para preguntar si podíamos traducir la nueva constitución a varias lenguas indígenas del país, contestamos que sí, con un poco de miedo y con mucho entusiasmo a la vez","ña waranga iskun patsa iskun chunga (1991) wata puchukaura kai alpapi tukuikunata kawag iura runa, paita iuiachigkuna centro colombiano de estudios de lenguas aborígenes de la universidad de los andes sutitasi achka iachag pangata sug rimaikunama ialichingapa pundingichu tapuchingapa kaiawarka",coordinador
"me asiste la certeza de que con la conclusión de este esfuerzo, ustedes reciben las herramientas necesarias para emprender la construcción de un nuevo y mejor futuro","kai nukanchikikinpa rimaipimi makiwa kalpachispa kuanakunchi, kai achka iachag pangata kamkunata kuangapa kaskataka, askurinti allimanda i sumagllami iuiarispa ruraska ka",presidencia
la comunidad educativa participará en la dirección de las instituciones de educación,"imakunami ministi wiñachispa iachachii kallaringapa u maikan iurakunapa panga ministigta, atun llagtapi kawagkunata kawachispa kuagringapa",articulos
"el estado reconoce, sin discriminación alguna, la primacía de los derechos inalienables de la persona y ampara a la familia como institución básica de la sociedad","tukuikunatami atun llagtaka rigsi, ñi pitapas mana sugma churaspalla, nukanchipa suma iuiaspa, suma kaugsaita sumaglla kuaspa i nukanchipa atunkunata sumaglla maki kuaspa i willaspa paikunami mas atunkuna kankuna",articulos
luis ortega miticanoy como abogado asesor del proyecto inga,"bogotamanda kaiawai kallariuraka, pirmisukuna mañaspami iacharkani ringa",carta_traductor
345 pasto gobernador del cabildo inga de aponte,san miguel de la castellana sutimanda ubirnadurka sug musitutami kachamurka kai achka iachag pangata nukanchipa simipi ailichii apanakura,carta_gobernadores
"la ley, a iniciativa del gobierno, determinará el porcentaje mínimo de esa participación y definirá las áreas prioritarias de inversión social que se financiarán con dichos recursos","achka iachag pangakunapa wawa, imasa atun llagtata charig iura runa mailla u achka ialichiskasina, i paimi ninga maipi, imapi, imaura chi kulkikunata ministiskapi tukuchingapa",articulos
el estado reconoce la igualdad y dignidad de todas las que conviven en el país,"tukui atun llagtapi kaugsakuna, tukuikunawa iualmi kanchi ñipipas mas atun mana kanchu",articulos
"como gobernadores nos permitimos recomendar a nuestros maestros bilingües la adopción de la traducción de la nueva constitución como texto obligatorio de estudio en nuestras comunidades y además los centros experimentales pilotos serán los encargados de capacitar a los maestros bilingües, para el uso y manejo adecuado del texto en coordinación con el traductor de la constitución","chasa kagmandami tukuikuna munanchi i nukanchikikin nukanchipa simipi ialichiskataka, tukuikunami iukanchi apispa, apispa ringa",carta_gobernadores
"obtuve el respaldo total del director del proyecto, jon landaburu; además, ha sido de mucha valía la vinculación de la universidad de nariño al proyecto anteriormente mencionado, quien me concedió los permisos necesarios para trasladarme tanto a mi comunidad como a santafé de bogotá con el fin de asistir a las reuniones convocadas por el coordinador, sin ese concurso, no hubiera podido realizar mi traducción","askurinti ajaimi alli iachiwarka, kai achka iachag pangata ingakunapa simipi ialichingapa kuawaura",carta_traductor
"con el cumplimiento de los requisitos y formalidades que señale la ley, y en los casos que ésta determine, se realizará el examen periódico de los límites de las entidades territoriales y se publicará el mapa oficial de la república","imasami achka pangakunapa wawapi apachiraiá (riraiá), chasami iuka kanga atun llagtapa wawakunata kinchachiskauramandaka, kada sugratumi iukanchi chapanakugringa, mana ñi pipas uchullaiachipungapa",articulos
"en las entidades territoriales habrá también consejos de planeación, según lo determine la ley",chi nukanchikikin agllaskakunaka iukankunami allilla rigsinga u chikuna rurai puriskakuna kanga,articulos
"la erradicación del analfabetismo y la educación de personas con limitaciones físicas o mentales, o con capacidades excepcionales, son obligaciones especiales del estado","atun llagtapa iachachii wasinigta mana munaskataka ñi pipas mana pudinchu sug iuiakunapa iuiaita iachachinga, nukanchipa iaiakunapa iuiaita kichuspa",articulos
"los cotraductores que le colaboraron para la traducción son: mateo chasoy, isidoro chasoy, domingo tandioy chasoy (exgobernadores), maría esperanza jacanamijoy, jaime peña jamioy, luis manuel tandioy (líderes), blanca chindoy, mercedes jacanamijoy y francisca jacanamijoy (profesoras bilingües) y otras personas muy prestantes, como son los gobernadores de guayuyaco, la floresta española, san miguel de la castellana quien envió un delegado","santu dius, ñugpata achka iachag pangata mana rigsirkanchichu",carta_gobernadores
resalto el apoyo de las siguientes personas:,"paikuna mana nigmandaka upallami nukapa wasipi i wardapunchakuna, nukanchipa simipi ialichii kallarirkani",carta_traductor
el derecho a la vida es inviolable,ni pipas wañuchii u wañuchichii mana pudingapa kanchu,articulos
por medio de las acciones se acude ante los jueces para solicitar protección,"kai mañadirukuna ña sutipa nukanchita charig iurakuna kuangapa, nukanchi kikinllami pudinchi ringa ast mañangapa; mana sug lidu rimapungapa maskaspalla",articulos
su período será de ocho años y cada cuatro se renovará parcialmente en la forma que establezca ley,imasami suiuchispa pitikunapi niraian chasa,articulos
los mecanismos para proteger nuestros derechos se llaman acciones y se pueden utilizar cuando exista una amenaza de violación de los derechos o cuando se hayan violado en perjuicio de las personas o de las comunidades,"ñi pitapas ianga mana wañuchingapa pudirinchu, ima munaskami rurangapa pudiri; piru ñi pitapas mana llakichispalla, allilla rimaspa, imasami chunga sug, 1000 chusku chunga sug suiuchiikama willaku chasa, chi achka iachag pangakunapi",articulos
los servidores públicos lo son por la misma causa y por omisión o extralimitación en el ejercicio de sus funciones,chasallata kikin taitakuna mana suma iuiachigmanda u mana suma iuaikunawa sugkunata llakichispa purichigmanda paikunatapasmi achka iachag pangakuna iuiachingapa kaiangapa kankunata,articulos
adilio raul chasoy c,"achka iachag pangata nukanchipa simipi ialichii aidagkuna sutikankunami: mateo chasoy chasoy, isidoro chasoy chasoy, domingo tandioy chasoy (paikunakla puiblupi tianakuskami kankuna), maria esperanza jacanamijoy jansasoy, jaime pena jamioy (paikunaka puiblupi tianakuskata katiraigkunami kankuna), blanca chindoy, mercedes jacanamijoy muyuy i francisca jacanamijoy muyuy (iurakunapa i nukanchipa simipi iachachigkuna) i sug askurinti iapa iacha taitakuna, waiuiaku i floresta la española sutimanda ubirnadurkuna",carta_gobernadores
"los estudios que desarrollábamos aquí, desde hacía más de diez años, nos habían mostrado a todos, estudiantes, profesores e investigadores, la profundidad, sutileza y belleza de la gramática y del léxico de las lenguas indígenas","chiuraka, mailla manchaspalla imapasmi ari ainirkani, chasa nispaka askurintimi alli iachiwarka",coordinador
se garantiza la libertad de conciencia,achka iachag pangakuna nukanchipa iuiaita iangami kawangapa ká,articulos
las principales acciones son: 1,"asnikm  maiaaaxx  kai mañadirukuna, nukanchi kikin mañadirumi suti ka; nukanchipa suma iuiaita u kaugsaita nanachigpikuna u ña sutipa runakunata u tukui nukanchipa alpapi kaugsagkunata nanachigpikunaka, sug iura mana suma kaskata allilla iuiachidurpagmami iukanchi willangapa ringa, paita aiudawai ruangapa",articulos
elegir y ser elegido,iskai,articulos
carta de los gobernadores ingas,nukanchita sinchi charig taitakuna paikunapa makiwa kalpachispa,carta_gobernadores
la ley podrá darle el carácter de entidades territoriales a las regiones y provincias que se constituyan en los términos de la constitución y de la ley,"atun llagtapa katilla alpakuna i puntu wawa llagtapa tuot alpakunapasmi atun llagtapa wawa alpakuna kanga, imasa achka iachag pangakunapi achka iachag pangakunapa wawapi willaraigsamu chasami llugsinga",articulos
es obligación del estado y de las personas proteger las riquezas culturales y naturales de la nación,"tukui ima suma tiaska (alpa, alpa ukuma u awalla; sacha ukupi u awalla) atun llagta i nukanchi kikinkunami iukanchi kawanga",articulos
cada dos meses se reunían con nosotros en bogotá donde examinábamos las dificultades entre todos y tratábamos de ayudar,"suraka chaiami sug rigcha, sug rigcha kinguchispa apachingapa",coordinador
la enseñanza que se imparta en las comunidades con tradiciones lingüísticas propias será bilingüe,nukanchi kaugsaska llagtapi iurakunapa i nukanchipa simipimi iukanchi iachachinga iachaikug wawakunata,articulos
"sin embargo, traducir la constitución, o sea, buscar los equivalentes de expresiones y términos jurídicos muy propios de la tradición occidental a lenguas indígenas tan alejadas de esta misma tradición, suponía un desafío totalmente nuevo y un riesgo alto",nispami iachanchi imasa suma chi rimaikuna allichispa kagta i maituku chi rimaikuna suma kagta,coordinador
busquemos lo más favorable para nuestra existencia,kawasunchi imasa mas suma nukanchi kaugsangapa kaskasina,favorable
la ley establecerá las condiciones para su creación y gestión,achka iachag pangapa wawami ninga,articulos
"el hecho de haberme enfrentado a esta dura tarea, sin una experiencia previa en traducción, me da satisfacción de haber logrado conocimiento y haber adquirido un acervo cultural, lo cual beneficiará a la universidad de nariño, a mi comunidad inga y a otras personas o instituciones que requieran el conocimiento de este trabajo","kamkuna chasa mana sapalla sitawagpikunaka, ikutimi imakunapas pudinchi ruranga",carta_traductor
"se prohíben la esclavitud, la servidumbre y la trata de seres humanos en todas sus formas","ni pitapas mana allikanchu ianga, mana kulki kuaspalla trabajachinga u piñaspa trabajachispa charinakungapa",articulos
digitalizado por sistema de bibliotecas-universidad de los andes,"kamkikinkunapagmandakunami rurarkakuna antiwama iachaikunatami iachaikurkanchi, chikunawa tukuikuna waugkikunasina kaugsangapa",presidencia
"cuando la violación de estos derechos causen daños a una comunidad o a un grupo de personas, cualquier persona puede reclamar ante los jueces en nombre de todas, la reparación del daño","pai tukuikunatami iuka sumaglla aiudaspa kawanga, nukanchipa atunkunasina, tukui nukanchimanda suma chaiaskakunata",articulos
acción de tutela: esta acción la regula el artículo 86 de la constitución nacional,nukanchi imasa rimagridiru kaskakunata kaugasunchi: 1,articulos
"así todo, son más de cuarenta artículos",mana sugsinama kinguchispallami achka iachag pangataka nukanchipa simima ialichirkanchi,coordinador
"de manera general, deseo manifestar mi gratitud a todas las personas que de una u otra manera participaron en la ejecución de mi proyecto, ya sea en la grabación de los cassetes como en el diseño de la carátula y dibujos para la publicación del texto, todo lo cual redundará en beneficio de las generaciones presentes y futuras, tanto en el campo intelectual como cultural de las comunidades marginadas del país","chasallata puiblipi pasadukunata katiraigkunatapasmi pai siñursitu iukaikichita ninga, ikuti sura diusmanda aidawangichi",carta_traductor
las autoridades garantizarán la adecuada y efectiva participación de la mujer en los niveles decisorios de la administración pública,"nukanchipa alli iuiaikunata kaugsachispa, wiñachispa kawachisunchi, tikui llagtamanda runakunata, maikankuna tuparingapa munaskata kaiasunchi",articulos
esta se expide para la convivencia y el respeto mutuo entre los habitantes de nuestro territorio,"achka iachag pangakunaka, achka iachag pangakunapa wawapa taitami ká, nispami tukuikunata mandá",favorable
artículos de la constitución política de colombia-1991 escogidos para su traducción a la lengua inga,"mailla nukanchita chaiaskata, nukanchipa rimaima kulumbiamanda achka iachag pangata ialichiska, 1991",titulo
el castellano es el idioma oficial de colombia,"iurakunapa rimaita, tukuikunami nukanchipa kulumbiapi iukanchi rimanga",articulos
digitalizado por sistema de bibliotecas-universidad de los andes,iangaka mana ñitkarispa pirirshangichichu,carta_traductor
son nacionales colombianos:  c,kawasunchi ari pikunami kulumbianu niraianchi:  a,articulos
"anteriormente nunca tuvimos la oportunidad de conocerla ni en castellano y peor en nuestra lengua materna; razón por la cual, queremos dar nuestro pleno respaldo a la dicha traducción por las siguientes razones:","achka iachag pangata nukanchipa simipi ialichingapa, chitaka nukanchipa simipi universidad de nariñomanda francisco tandioy jansasoy sutimi ialichirka, paika nukanchipagmadami ka",carta_gobernadores
"son fines esenciales del estado: servir a la comunidad, promover la prosperidad general y garantizar la efectividad de los principios, derechos y deberes consagrados en la constitución; facilitar la participación de todos en las decisiones que los afectan y en la vida económica, política, administrativa y cultural de la nación; defender la independencia nacional, mantener la integridad territorial y asegurar la convivencia pacífica y la vigencia de un orden justo",tukuikunata maki mañachingapami atun llagtapa iuiaika ká,articulos
"la consagración de los derechos constitucionales indígenas, es el resultado de las continuas luchas de nuestros líderes a lo largo de muchos años, en las que se sacrificaron muchas vidas","nugpamanda achka iachag pangakunaka sug runallasi rurarka, nispasi manima ñimapasi niraiarka nukanchimanda, nukanchi kai atun llagtapi manima kaugsagsina u piskukunasina sacha awanigta kaugsagsina",favorable
"gozarán también de los demás derechos consagrados en la constitución, en las leyes y en los tratados internacionales ratificados por colombia",allilla kaskakunapas chasallatami chaskingakuna,articulos
"las entidades territoriales gozan de autonomía para la gestión de sus intereses, y dentro de los límites de la constitución y la ley","atun llagtapa wawakuna, kikinkunami kawanakungapa kankuna, kikinkunamanda ima mailla ministiska maskaspa iukangapa, imasa achka iachag pangakunapi wawapi willaku chasa",articulos
"los bienes de uso público, los parques naturales, las tierras comunales de grupos étnicos, las tierras de resguardo, el patrimonio arqueológico de la nación y los demás bienes que determine la ley, son inalienables, imprescriptibles e inembargables","tukuikunamanda niraiaska, tukuikunamandami ká, sachukukuna wakachiska, sug rigcha kaugsag runakunapa alpa, ñugpamanda runakuna ruraska sakiska, kai mama llagtapami ká, i sug ima tiaskakuna imasa achka iachag pangakuna wawapi niraiaskasina, chikunami kankuna mana katudiru, mana kichunga pudiri suma iuiaspa kaugsai mana tukuringapa kanchu",articulos
"de conformidad con la constitución y las leyes, los territorios indígenas estarán gobernados por consejos conformados y reglamentados según los usos y costumbres de sus comunidades y ejercerán las siguientes funciones:","imasa achka iachag pangakuna i achka iachag pangakunapa wawapi willaku, chasami nukanchipapurapa alpanigta nukanchipa iuiaiwa iukanchi charinga, sug iuiachispa purigkunami iukanchi maskanga, imasa iurakuna nukanchita charinkuna chasa, achka iachag pangakunapa wawapi kalpachiraiaskasina, imasa kaugsai, iuiai kaskasina, kaikunami pudinchi ruranga:  oxixxim  umuz con ingrenem sqeelliw senuchun saulut iqelliguz",articulos
"los indígenas que participaron en la constituyente nos representaron exponiendo nuestro pensamiento, el cual quedó parcialmente escrito en la constitución","nukanchipa achka iachag pangakunata waranga iskun patsa iskun chunga wata kaurami surkurkakuna, kanchis chunga runakuna intiru atun llagtamanda samuspa, sugkunaka sugrigcha iuiaiug, sugkunaka chillatata iuiaiwa tuparinakuspa, askurinti unai tiarispa chi achka iachag pangakunatami surkurkakuna",favorable
solamente los artículos relativos a los derechos fundamentales de la persona y los que tienen que ver con los derechos de los pueblos indígenas,"sapallaka mana trabajarkanchichu, kada simima sug liduwami ialichirkanchi ailichinga, paika suma allichispa, imasa kaskasina willaspa",coordinador
