arh,esp
"ema wanun, ga'kunamu abunna zukutu a'chuňakumaye', sakuku presidencia zanuse', iku aseykumuya sírigun keywu a'chuna awa ajunana, gwa'na na ni",entonces para ello solicitaron colaboración al centro colombiano de estudios de lenguas aborígenes de la universidad de los andes (ccela) donde se adelantan estudios sobre diferentes lenguas indígenas del pais
"ey una nari universidad de los andes siku, diwún diwún ikun aséykumey zoya, izatasi a'chuñákumey zoyeku ""centro colombiano de estudios de lenguas aborígenes"" zanu gunu unka'sana","luego de varias conversaciones se escogieron siete lenguas que son: de sibundoy (putumayo) dos lenguas: el kamsá, el ingano; del cauca, dos lenguas: el guambiano, el paéz; del vaupés una lengua: el cubeo; de la sierra nevada, una lengua: nuestra lengua ikun; y de la guajira, una lengua: el wayú"
"uya-jinasin undimasáy, ga'kunamu koga-juna iku akwey zoyase' aseykumuya a'chuñakumungwasi rinagagu'na","para elaborar el trabajo en nuestra lengua nos colaboraron especialmente: jon landaburu, director del centro colombiano de estudios de lenguas aborígenes quien coordinó los trabajos en las siete lenguas y nos proporcionó los elementos necesarios; guillermo padilla, jurista que nos ayudó a comprender los textos constitucionales; y, en sabana crespo, jugaka e isurwa, lugares donde se llevaron a cabo las sesiones de trabajo, nos colaboraron las autoridades"
"uyari: sibundoy (putumayo) zanu mowga-juna: kamsá, ingano; cauca zanu mowga -juna: guambiano, paéz; vaupés zanu, i'ngwi-juna: cubeo; sierra nevada zanu, i'ngwi-juna: níwizey ikun; awiri guajira zanu, i'ngwi-juna: wayú","como traductores participaron los señores: josé maría crespo, miguel torres, juan bautista ramos, emeterio arroyo y rubiel zalabata"
"níwizey aseykumuya a'chunungwari, umún niwingunámusi azoyana neykari: jon landaburu, ""centro colombiano de estudios de lenguas aborígenes"", eymeku sakuku umún a'zanun nuga, nikamu koga neyka winipana una neykase'ri, ga' unkéy rigunsi gunti azweingwasi niwingunámusi zoyana; guillermo padilla, gwamu guga sí riwiana ga'kunamu ""constitución-se' "" a'nikwuya niwikure'wechi zoyana; ey awiri, sabana crespo, jugaka, isurwa, ""curso"" zákusi azoyaneku, sakuku niwingunamusana","la cartilla consta de tres partes: la primera contiene la traducción de los cuarenta artículos seleccionados, la cual, si bien puede ser aprendida por todos, puede servir especialmente a las autoridades"
"iwa, ga'kunamu re'zagikumuyari, ikun a'kumey azoyana: josé maría crespo, miguel torres, juan bautista ramos, emeterio arroyo, awiri rubiel zalabata, nari a'chunakumana ni",en algunos casos para comprender mejor el contenido de los artículos se agregó una explicación que aparece en letras más pequeñas
ema papériri máykunu re'nikwuya ni,"la segunda parte contiene los cuarenta artículos en castellano y demás textos escritos en ikun en la primera parte; la tercera parte, explica cada una de las palabras contenidas en los trece artículos que se sacaron por aparte; ella puede ser de utilidad sobre todo para los maestros"
"kutukunun re'nikwuyun, ga'kunamu ikun re'zagikumana, ma'keywa uga ""artículo"" nánuya, pinnase' riwiukwéy nuna ne'ki sakuku jinase' umún ka'mukariza ni; eyma'bari, g","esta última se escribió con el deseo de que sea útil para ir adquiriendo claridad en la identificación de los elementos gramaticales que acompañan las diferentes clases de palabras, en nuestra lengua"
"eyméy gwasi ey guga ni umún mikuwanukwéy nanungwasi, i'ngwiri ingu zaka' unka'chó'kumey ga'kunamu ija ukumana ni","este texto en ikun fue construido poco a poco; y aunque sabemos que estos escritos pueden ser mejorados, al término de un año de haber iniciado este trabajo, ha sido preciso recoger los resultados obtenidos para su respectiva publicación"
uya ga'kunamu umún ney a'kumana ni,puede afirmarse que hasta ahora estamos aprendiendo a leer y escribir en nuestra lengua y es la primera vez que nos enfrentamos a traducir el lenguaje jurídico
"ma'keywa uga nánukin, bunachun a'nikwuya ni","por lo cual más tarde se podrán ver los errores cometidos en lo que hoy se presenta, pero de momento su lectura puede ayudar a avanzar en el conocimiento de estos temas"
"mayba' re'nikwuyun, ""artículo"" i'ngwi uga máykunu kutow nánukin áykunu agagu'na neykari, ga'kunamu ikuka re'sa awi i'ngweti i'ngweti zakunka'cho'kumana nanuyari, gumusinu awiuya jinase' umún ka'mukariza ni","hemos tratado de explicar los conceptos de la constitución, en un ikun libre de extranjerismos pero en algunos casos no encontramos las palabras adecuadas, no sabemos aún si éstas podrían o no encontrarse en nuestra lengua"
"ga'kunamu buruna eyma eyma nanun nuga ni; uya ga'kunamu ikuka asánuga, uya ga'kunamu tukin zoya ni; eymari, ga'kunamu guruna eyméy za'kinuga neykasin unpánuya ni; gunti kurá me'zanisi zweingwasi a'mukariza ni","en contados casos se crearon nuevas palabras o expresiones, que aparecen en este escrito"
"gunti uwari, eymari a'kumayun","nada nos permite saber en este momento si tales palabras van a ser acogidas o no; si más tarde se ve la conveniencia de reemplazarlas por otras, hay libertad para hacerlo, de lo contrario podrían quedar tal cual, todo es posible"
"ey uweri, ga'kunamu emi a'nikwun nuga, yow, ingiti ingiti unchuney iku'n a'kumey azoyana ni","pero sólo leyendo el presente texto con detenimiento y con intenciones de avanzar, podrán sentir donde están los aciertos y los defectos del trabajo"
"ey uwe neki eyki du kukusukwéy nariza ni, ey niwe'zanunki, kugi niwinzanika gun uweri a'chunukwa kawame', akín zu'n kuchunukwa nisin","asumimos la responsabilidad de sacar adelante este trabajo porque suele afirmarse que ""si nos hablaran en nuestro idioma entenderíamos mejor"", porque en los territorios indígenas se aprenden las dos lenguas (la propia y el castellano) y porque consideramos conveniente escribir en ikun el contenido de la constitución"
"niwi kínkiri iwa keywu ikun paperi a'samu, yamu, riwiun núkura nanu' nunno; awiri gwamu guga sí ayeygwi, iwari kutukunun uya ga'kunamu no'kwun núkura ni","por todo lo anterior, considero que al ser publicado este trabajo, conviene en todo caso leerlo"
"ey uweri, iwa a'kumana neykari, sige mowge pariri, eymi eymi re'zátikuma una ni, a'chukwéy nanungwa ne awunki, iwa azweinnuga'bari, ema du ya awundi kurá me'zanisi zweingwasi ingu kindi mingunámusa awiza ni",responsable de la traducción
"ga'kunamu ""constitución-se"" a'nikwuyari, ikun áykunu zakunka'cho'sukwa, i'munuri ga'kunamu neki migunchona'ku' nunna ni, kwa ku' name' ne nariza nundi","santafé de bogotá, octubre de 1993"
"ikun aseykumuya, koga-juna agagu'na sírigun ga'kunamu re'zagisukwa, rigunsi gunti, ga' unkey, ungunámusi azweingwa nari, sakuku a'chuñakumana zuga'kunamu",palabras del coordinador de la traducción a siete lenguas indígenas
"ema wa'nun, (1991 kugi kuchori), koronbia sakuku umún a'zuna neykasin ga'kunamu unchuney zoya-jinase'ri, emáy universidad de los andes sí, niwi centro colombiano de estudios de lenguas aborígenes zanu núnkura, ikuna niwikukana uye'ri, ""ga'kunamu abunna zukutu abiti neykari, ikun aseykumuya sírigun unkure'zagisukwa, ey awkwéy miwikunanunno"", keywu niwe'sikumayun","cuando, a fines de 1991, los consejeros del presidente de la república llamaron al centro colombiano de estudios de lenguas aborígenes de la universidad de los andes para preguntar si podíamos traducir la nueva constitución a varias lenguas indígenas del país, contestamos que sí, con un poco de miedo y con mucho entusiasmo a la vez"
"níwiri ingu mowgá niwe'zare'ki, ""ey awkwéy niwikunariza ni"" keywu a'gwana ni","los estudios que desarrollábamos aquí, desde hacía más de diez años, nos habían mostrado a todos, estudiantes, profesores e investigadores, la profundidad, sutileza y belleza de la gramática y del léxico de las lenguas indígenas"
"emiri, i'ngwi uga kugi, umún neki, ikun aseykumuya sírigun izatasi zwein nu'núnkura name', emi riwiya jina, awiuya-jina, awiri uyéy izatasi zwein nugeykasin yow; íkuzey ga'kunamu kínkiri, a'zuna gunti na ni, kindi ey niwe'zunna ni","la práctica de sus textos mitológicos, de sus cantos, de su arte de contar nos habían convencido del gran valor estético, literario y de sabiduría de sus tradiciones"
"emi chuzari uweyka zaka'chó'sukwa, inu sí neki wasaykwa, kwa manunka me'zari uwa neyka zaka'cho'sukwa, ey gunti ga'kunamu winukunanun nuga ni, eygwi niwe'zunna","sin embargo, traducir la constitución, o sea, buscar los equivalentes de expresiones y términos jurídicos muy propios de la tradición occidental a lenguas indígenas tan alejadas de esta misma tradición, suponía un desafío totalmente nuevo y un riesgo alto"
"iwa ga'kunamu ikuka i'ngweti i'ngweti a'chukwa nundi, azuwa zana kawa, akutu zana kawa, azey azey winukunanun nuga gwakun, sumugwi winukunánuya ni, eygwi niwigunkwana ni","el trabajo no podía ser un simple ejercicio individual de una persona que, manejando dos lenguas, se sienta en su escritorio y acomete, sola, la traducción"
"ey uwe'ki ga'kunamu constitución- se' a'nikwuya, i'ngwi -junari gwamu guga sí riwianase' (abogáduse') zu'n jwa'suya ni; awiri bunachu winarunuyáy, ikuña winnenanuyáy ga'kunamu unkuncho'kumana neykari, iku sírigun neki ku' nanunno; diwún gun ánugwe winuka'nikwundi","por la dificultad del texto castellano por traducir, por la necesidad de buscar en las lenguas indígenas palabras y giros con usos o sentidos muy poco familiares a los hablantes, era imprescindible dar un carácter colectivo a la traducción y recurrir a grandes conocedores de la tradición por un lado, a ""personas-puentes"" por otro lado"
"ey uwame' ga'kunamu constitución- se' a'nikwuya ikun aseykumuya sí unkure'zagisukwa, du kawi izataka awun gundi ga'kunamu mika'cho' nánuko","las personas-puentes iban a ser, en primer lugar, indígenas lingüistas, formados casi todos en nuestro centro, pero también maestros, promotores de salud, líderes políticos, en general gente con un mejor conocimiento del mundo blanco; los conocedores de la tradición serían según los casos: mamos, payés, chamanes, taitas y ancianos o sea líderes espirituales de las comunidades"
"ey anuwe' neki i'munuri, gugín neki yu' nánukwa ni, na' nundi diwún neki gwákukwey, mikunika awkwey niga ni","durante más de un año, los lingüistas indígenas organizaron equipos de traducción y reuniones con las comunidades para estudiar los textos, crear o rescatar términos, someterlos a discusión"
gunti a'chwun nusi ey niwe'zunna ni,en más de una ocasión tuvieron que volver a empezar porque la gente no entendía
"ey uwame' i'ngwise'kin, ikun bunachun, mowga-juna ásuya neykase', uya ga'kunamu re'zagiza awiza neki na' nanunno",cada dos meses se reunían con nosotros en bogotá donde examinábamos las dificultades entre todos y tratábamos de ayudar
"eymiri, abogado mikujunagwi, sakuku kwa mamu ga'kunamu du-jwa'suyase' mikujunagwi, mowga-juna asayamu agunkwuya eygwi, ikun aseykumuya sírigun riwiana eygwi; ey awundi, ingu zuguró neykase' uya nikamu uzoriza na' nunno","no solamente tuvimos, con la ayuda de los abogados, que aclarar, explicar y comentar el texto de la constitución sino que, para acercar este pensamiento a culturas que no han conocido sino hasta hace muy poco la escritura alfabética o una organización social en ciudades, tuvimos que averiguar el nacimiento en el mundo occidental de muchas de estas palabras e ideas jurídicas: averiguar con filólogos, estudiar con filósofos, comparar con antropólogos, qué significado originario tienen palabras como ""derecho, ley, estado, autoridad, ciudadanía, democracia, etc"
"ikun aseykumuya sírigun riwiana (lingüistas) agagu'na neykari, ikusin rinunní'kumey, ""curso "" neki zákusi azoyana ni",""", entre las tribus indo-europeas de la antigüedad, entre griegos y latinos y también entre pueblos de otras tradiciones que se inventaron esta clase de nociones y palabras cuando el uso de la escritura y el acercamiento al mundo de las ciudades los impulsó a formalizar y desarrollar sus instituciones políticas, religiosas, económicas y penales"
"ga'kunamu constitución -se' a'nikwuya-jwa'si, uyéy unkuwusi, i'ngwi-juna unte zaka unka'cho'si, ga'kunamu re'tasi, i'munuri ga'kunamu ikuka abiti unka'chuney; gunti awi, i'ngwi kugi umún azoyana ni","este trabajo y una constante discusión sobre las, muy diversas, tradiciones indígenas de colombia nos permitieron ayudar a acuñar expresiones que no fueran simples equivalentes sino que se construyeran sobre raices fundamentales de la lengua"
"ga'kunamu constitución- se' a'nikwuya; ínuki ""derecho, ley, estado, autoridad, ciudadanía, democracia, etc","los símbolos de la casa, del cuerpo, de las direcciones del cósmos, de la firmeza, de la palabra sagrada como compromiso, y tantos otros, fueron así utilizados para este nuevo uso, así como lo fueran, en el nacimiento de la forma escrita del derecho donde quiera que apareciera"
""" abogaduse'ri ""eyméy gwasi ey guga ni"" zaka mika'cho ne awunki; iku rigundi diwún gun azweindi, diwún gun ga'kunamu kwundi; ikun yukwari, yume'ku' nánukwa ni; ga'kunamu du mikuwanaki ne nukunki","para que personas no hablantes de estas lenguas puedan medir el esfuerzo realizado y puedan apreciar el pensamiento indígena, pedimos a los lingüistas que presentarán también una traducción directa al castellano de la traducción en lengua indígena de los principales artículos de la constitución"
"bunachun neki, birindi, ga'kunamu ""estado"" kwa ""ciudadanía"" neki ku' nunna ni, aya ni",aparece en la tercera parte de este libro
"birindi powru awutari zari winunkizákusi, paperi neki a'si azweinpare', umún diwún kawi akwey, gwamu awí zweykwa, jwi unni'si zweykwa, tanu wina'zari zweykwa, inu sí nenún, diwún kawi rigagusi ey awi ga'kunamu abiti unka'chuney, gunti azoyana nunna, aya ni","esta parte sirve también a los maestros y estudiosos indígenas de las comunidades que quieran ver cómo se hizo la traducción, con ánimo de mejorarla y de entrar más profundamente en el funcionamiento de su lengua"
"ey awundi ga'kunamu ""democracia"" zana kwuyari, azi awi ka'chona una nunno",no se tradujo toda la constitución
"eymi niwigunchonungwari, bunachun aseykumuya sírigun riwiana, bunachu riganeysi zunnáy powru zanikunpunkwe' pari zari zwein nuga sí riwiana neykasin neki, rimaséykumey azoyana ni",solamente los artículos relativos a los derechos fundamentales de la persona y los que tienen que ver con los derechos de los pueblos indígenas
"bunachu sí waruñey, awiri iku keynárigun azi zuna no uwari rimasáy, ga'kunamu a'zuna a'tasi, ga'kunamu ikuka unkure'wechiri akutu kutasi, gunti awi, unkuncho'kumana ni","así todo, son más de cuarenta artículos"
"ga'kunamu bunachun a'nikwuya, inu zana; ""derecho"" ikundi azi zano, me'zasikumundi; ""ta neyka"" kwa ""ritta"" zuna ni zu'n yu' nánuko",creemos que se allanó el camino para traducir los otros cuando surja la necesidad
"ey uwe'ki bunachun kingwi ""derecho"" eyméy gwasi ey guga ni, du unkuwusiri, ikun keywu zaka'chó'sukwa ga'kunamu tákukwey na' nunno","solo se hizo la traducción en siete lenguas: el wayúnaiki de la guajira, el nasa yuwe o páez del cauca, el guambiano del cauca, el ika o arhuaco de la sierra nevada de santa marta, el camentsa y el inga de sibundoy, el cubeo del vaupés"
"eyméy awi, ""derecho"" awgari, menanuyáy mikunánuya neyka ey guga ni, niwi niwigunchona uwin",estas lenguas están entre las más habladas de las sesenta y cinco lenguas diferentes que existen en colombia
"i'munuri, ga'kunamu, uraku, amiguchu, kun, ka'gumu, je, kwa inu-juna ikuse'-jwa'suya neyka, uyazey ga'kunamu igusi, constitución- se' a'nikwuya ""eyma zana ni"" kindi í, zaka'cho'si wazoyana ni","sin embargo quedaron todas las otras por fuera de este esfuerzo, algunas con muchos hablantes también"
"kutukunun bunachu ""ley"" papérise' unka'si azorie', eymeygwi nari re'tasiri ga'kunamu ka'chunna ni, awga gunundi",las limitaciones en cuanto al dinero y en cuanto a lingüistas indígenas disponibles nos impidieron cubrir otras lenguas por esta vez
"iwa, ikun agunku' neykase', ga'kunamu constitución- se' a'nikwuya re'zagisukwa, eyméy rigagusi, re'tasi unkuncho'kumana ni, ey awiri ikuse'ri eyméy ga'kunamu winukununa, izun awungwa nari, ikun aseykumuya sí riwiana emi kutwinusi azoyana-jinase'ri, g",esperamos que pronto se pueda dar una experiencia semejante en otras comunidades que lo deseen
umún a'mukanukwéy nánuya ikun a'nikwuyari i'ngweti i'ngweti áykunu re'gawiri bunachun eygwi re'zagisa ukumana ni,para nosotros este trabajo fue una experiencia muy satisfactoria
"uyéy a'chunakumana neykari, emi kartiyase' mayba' re'nikwuyun siku a'nikwuya ni","muy satisfactorio también sentir la vitalidad de estos pueblos antiguos, emprendiendo nuevos caminos de entendimiento del mundo de hoy, que sean a la vez nuevos caminos de profundización de su memoria"
"uyari, iku gumusinu awí zwein nugeykase', kwa ujwase' neki, ""azi awi ga'kunamu ikun re'zágikumey wazoyana no"" agunchona awa a'junundi, kwa umún du kukusi zweykwa, kwa amiga'kunamu wesu re'nisi zoyaki nukáy kawa, jwa'si neki zweykwa, eygwi ka'mukánuya na' nunno",a todos muchas gracias
"constitución- se' a'nikwuya, yow nungwa, re'zagikumu' nari, g",jon landaburu (cnrs) director del centro colombiano de estudios de lenguas aborígenes (ccela)
"iku diwún diwún akwey zoya enanuyáy winukunánuya neyka sí wásuya, zu'n re'zagikumana ni","santafé de bogotá, febrero de 1994"
ga'kanamu i'ngwi juna zaka'cho'suya g,cuarenta artículos de la constitución seleccionados para ser traducidos
1. kuma'pinre'tanazey nari kutukunun kutu abunna si,1. artículos relativos a los principios fundamentales del estado
2. i'ngweti i'ngweti menanuyáy mikunánuya neyka sí,"2. artículos relativos a los derechos
de las personas"
3. tanu me'zari kwey awkwa neyka enanuyáy íkwuya,3. artículos relativos a la protección de los derechos fundamentales
4. akwey zoyeyka enanuyáy jwa'kumukweyna kunari zoya sí,4. artículos relativos a la nacionalidad
"5. niwi ka' jomu riwun, diwún diwún aséykumey, akwey, zoya sí",5. artículos relativos a los derechos de las lenguas y las culturas de los pueblos de colombia
6. ga'kunamu riñawazori awungwa neyka zaka' unkucho'suya'ba kutwinusi zweykwey neyka sí,6. artículos relativos a la participación en la vida política
"7. iku diwún diwún akwey zoya'ba, gwamu ungwakungwa sí",7. artículo relativo a la justicia en los pueblos indígenas
"7. iku diwún diwún akwey zoya'ba, gwamu ungwakungwa sí",8. artículos relativos a la organización de los territorios
"8. ka'gumu re'kumey zoyana, wasáy, du zákumey, wazweingwa sí",9. artículos relativos a los planes de desarrollo
"koronbia awgeykari, i'ngwi nánukin na ni. ey uwame' gwamu guga umún a'zuna i'ngwi zu'n kwuya ni. i'ngwi nanunki, ka'gumu kuma'pinre'tanase' re'sana, unkuzori awkweyka kínkiri áykunu áyk unu rinre'gukuk wé y winuk un una ni. akín kwey zorikureykase' ga'kunamu unka'chunakumana umún a'zuna; ínuki awkwéy ni, nanu' ni, gwá; ey awiri diwún diwún kunsamu kwuye'ki chow dikin unka'chwiniwiza na' nunno. ema uyéy uzoya awkweykari, inu nenún ne awunki, a'zuna gunti núnkura, unisi, unkeriguzunasi uzoyun keywu, uyéy awkwey nariza na' nuno.","colombia es un estado social de derecho, organizado en forma de república unitaria, descentralizada, con autononomía de sus entidade's territoriales, democrática, participativa y pluralista, fundada en el respeto de la dignidad humana, en el trabajo y la solidaridad de las personas que la integran y en la prevalencia del interés general."
"kumu a'nikwuya pinnazey nari, i'ngwi nánukin rigunsi zweykwa, bunachuse' re'rita'na (kuma'pinre'tanari) nikamu winuzori awizeyka, ema nanun nuga ni: akín akwey zoya ka'mukari, kujurí awuyeyka re'tasi, awiri ga'kunamu abunna zukutuse' ayéy kawi enanuyáy, ga'kunamu a'nikwuya chwi zweingwasi; akwey zoyáy ínuki úkumey nunnige'ri pinnasin rigensi zoriza ni. koronbiase' akwey zoya, ínuki winukunari zoya, riñagagusi zoya, diwún diwún winnenanuyáy akwey, ínuki du kawi chwi wazori ungwa neyka, pinnasin rigunsigwi wazoriza ni. niwi ka'-jomu riwun re'kumuyáy i'ngwi nánukin riwari, áykunu rinre'gusi azweingwa, osun rina'chu' nari akwungwa, nanuyáy chow unka'chwi, gunti chwungwa ni.","son fines esenciales del estado: servir a la comunidad, promover la prosperidad general y garantizar la efectividad de los principios, derechos y deberes consagrados en la constitución; facilitar la participación de todos en las decisiones que los afectan y en la vida económica, política, administrativa y cultural de la nación; defender la independencia nacional, mantener la integridad territorial y asegurar la convivencia pacífica y la vigencia de un orden justo."
"niwi ka jomu riwun sakuku agagusi chokumanari, koronbiase akwey zoya, riñagwaku nari, osun riñachu nari, in winukunari zoya, inu sí ta azari zoya, mezunukin awkwa mikunánuya neyka, eyma zana eygwi nanuyasin, ikwey, chwi zweingwasi; awiri kumapinretana, ajwa-jina kwey zoyasin, enanuyáy","las autoridades de la república están instituidas para proteger a todas las personas residentes en colombia, en su vida, honra, bienes, creencias, y demás derechos y libertades, y para asegurar el cumplimiento de los deberes sociales del estado y de los particulares."
"akín kwey zorikureyka, bema gwasi umún a'zuna nánuya ni. uyase' jumu ka'nisi sakuku agagukuyari, kumu ka'si cho'kumuya ni; akín kwey zorikureykase' re'gukukwéy nanuyari re'guka, nanu' nunnige'ri sakuku cho'kumanase' re'gusiza ni; ga'kunamu abunna zukutuse' gugáy kawi.","la soberanía reside exclusivamente en el pueblo, del cual emana el poder público. el pueblo la ejerce en forma directa o por medio de sus representantes, en los términos que la constitución establece."
gwamu guga unchuiiuya gwamu guga unchunuya rezugurusi zoya,"2. artículos relativos a los derechos de las personas artículo 11. el derecho a la vida es inviolable. no habrá pena de muerte. artículo 12. nadie será sometido a desaparición forzada, a torturas ni a tratos o penas crueles, inhumanos o degradantes."
"pinna kwey awkweyka kwuniwinzáy na ni, bemase' nanu' ni gwákukwey kunanu' nari. bema nenún tuñana ne nanunki rigagukuya'bari agwakukweku rinichunukwa nanu' na ni.",el derecho a la vida es inviolable. no habrá pena de muerte.
"inu nenún awunki, koronbiase' kwey zorikureyka, bemase' agunku' nari, i'ngwi kwa a'zanu' neyka úkisi, umungwi kuzagi' zi re'zey, ga'kunámusin neki umungwi chuwi re'kussi, aná'nuga nánekin rina'chwi, rinuzweykwa na' na ni.","nadie será sometido a desaparición forzada, a torturas ni a tratos o penas crueles, inhumanos o degradantes."
"pinna kwákumey zoya, gwamu gugase'ri dikin a'chwuya ni. sakuku-jinase'ri dikin unkuwari ikwey zoya ni.","todas las personas nacen libres e iguales ante la ley, recibirán la misma protección y trato de las autoridades y gozarán de los mismos derechos, libertades y oportunidades sin ninguna discriminación por razones de sexo, raza, origen nacional o familiar, lengua, religión, opinión política o filosófica."
"unisi zoriza, inu ipari zoriza, inu nenún ne awunki dikin gunti azánuya ni.",el estado promoverá las condiciones para que la igualdad sera real y efectiva y adoptará medidas en favor de grupos discriminados o marginados.
"ingwiri ajwun kwakumana ni, diwún aseykumuya ni, diwún arunakumuya ni, ya tana na ni, inu sí ta ni azari zoya, gunti unkei nari. cheyrwa kwa amia náchuka awú azarízuna na na ni.","el estado protegerá especialmente a aquellas personas que por su condición económica, física o mental, se encuentren en circunstancia de debilidad manifiesta y sancionará los abusos o maltratos que contra ellas se cometan."
"bema nenún ne awunki, a'zasa' nari-jwejwe nari nenikun kei' nánukwa. eymeygwi nari amikeynun gunamu unkicho'si unige'ki, me'zasarwin key, kurigasai' nánukwa. i'ngwiri a'zanaku' neyka awú a'zuna nunáy a'chu' nánukwa.","se prohiben la exclavitud, la servidumbre y la trata de seres humanos en todas sus formas."
"aruney awkweyka, inu sí ta ni a'zari zoya wina'zari awízuna ni; ey uwame' ga'kunamu abunna zukutuse' ikwey chwi zorízuna ni. inuse' neki, yu' nariza ey yáy awánukwa, neki nanu' na ni.",se garantiza la libertad de conciencia. nadie será molestado por razón de sus convicciones o creencias ni compelido a relevarlas ni obligado a actuar contra su conciencia.
"inu sí ta ni a'zari zoya sí, unisi azoya (ga' ungawi, zamáy, kwey), bunachundi ""culto"" awga, awízunari wiña'zari au' nunno; ey uwame' ga'kunamu abunna zukutuse'ri ikwey, chwi zorízuna ni.","se garantiza la libertad de cultos. toda persona tiene derecho a profesar libremente su religión y a difundirla en forma individual o colectiva. todas la confesiones religiosas e iglesias son igualmente libres ante la ley. artículo 24. todo colombiano, con las limitaciones que establezca la ley, tiene derecho a circular libremente por el territorio nacional, a entrar y salir de él, y a permanecer y residenciarse en colombia."
"a'miari, unisi zoriza, inu ipari zoriza enanuyáy cheyrwasin dikin a'zuna ni. a'mia inu sí nezun, awú a'zuna nunáy a'chwi uzwei' nánukwa. wichámusin nunnige', awiri du ana'zanika awkin, kuma'pinre'tanase'ri, uyazey kinki ikwey, igunámusi zweingwa ni. a'mia nikamu unmukari kunanu' neyka, inuse' chwiza ni nanu' neyka, kuma'pinre'tanase'ri zungwa neyka igunámusi zweingwa ni. unka'chwi kwakumana uweykari, a'mia umún a'zuna nisi, gumusinu chwi, inu nenú-n únkuchwi uzweykwa kuni'nige'ri, kuma'pinre'tanase'ri uya jina minsu, igunámusi, jummu ka'si awungwa ni.","la mujer y el hombre tienen iguales derechos y oportunidades. la mujer no podrá ser sometida a ninguna clase de discriminación. durante el embarazo y después del parto gozará de especial asistencia y protección del estado, y recibirá de éste subsidio alimentario si entonces estuviere desempleada o desamparada. el estado apoyará de manera especial a la mujer cabeza de familia. artículo 44. son derechos fundamentales de los niños: la vida, la integridad física, la salud y la seguridad social, la alimentación equilibrada, su nombre y nacionalidad, tener una familia y no ser separados de ella, el cuidado y amor, la educación y la cultura, la recreación y la libre expresión de su opinión. serán protegidos contra toda forma de abandono, violencia física o moral, secuestro, venta, abuso sexual, explotación laboral o económica y trabajos riesgosos. gozarán también de los demás derechos consagrados en la constitución, en las leyes y en los tratados internacionales ratificados por colombia."
