way,esp
Te’raajireechi pia kasain wayu tü kamüshewaakaa.,Yo te enseñaré lo que es el miedo.
"Shiküinjachi Juan, shiküinjatü Tareesa, jee shiküinjana jaya.","Ella se va a comer a Juan, se va a comer a Teresa, y se los va a comer a ustedes."
"Sümüleraa jeerü nü’liima Piipa, nü’rülü, oo ’ulaka müsüya ni’ichi.","Ella palpará la barba de Pipo, sus pestañas, y su nariz."
Tasak eerü tü wayuu kepiakalü Maiko’u.,Yo saludé a la mujer que vive en Maicao.
Anujulaashi chi kaainjaraikai shiyaama ’a wanee wunu ’u mulo ’u shikii.,El malhechor se escondió detrás de un árbol de tronco grueso.
A’ajüichi pia karalouta.,Tú has empezado a quemar papel.
Tajütüinjachi pia puumainpa ’amüin - müshi laülaakai.,Yo te voy a mandar a tu tierra - dijo el viejo.
"Eetaapa’a shia nüpüla süchikijatü o’oojoo, ma'atüinyülüya süshe’in.","La encontró después de ella bañarse, todavía no se había puesto su vestido."
Atunkatüjülüya taya teis alaaiwa ’aya julu ’u to’ula.,Yo me había quedado dormida al momento de acostarme en mi chinchorro.
¿Jamüsü sünüiki chaamaakaa namüin tepichikana nale ’ejapa?,¿Qué les dijo la bruja a los niños cuando ellos regresaron?
"Tanaat eechi akuwa’ipa pia, to’oojireechi pia ja’raitua wanee kasa anasü ma’in.","Yo acomodaré tu vida, te bañaré cinco veces con una cosa muy buena."
Tajütüinjachi pia puumainpa ’amüin - müshi  laülaakai.,Yo te voy a mandar a tu tierra - dijo el viejo.
Eküichipa chira jintüikai.,Ese niño acaba de comer.
A’ülüjayüi tamüin chisa epe’tshikai.,Aquel borracho me regañó hace rato.
"Eetaapa’a shia nüpüla süchikijatü o’oojoo, ma'atüinyülüya süshe’in.","La encontró después de ella bañarse, todavía no se había puesto su vestido."
Atunkatüjülüya taya teis alaaiwa ’aya julu ’u to’ula.,Yo me había quedado  dormida al momento de acostarme en mi chinchorro.
Eküsüinka pia paa ’airuku.,Tú comiste antes carne de res.
Anamuyuu taya ta ’yataaiwa.,Yo estaba bien cuando trabajaba.
"Ma’aka puu ’ulaküle tanüiki, ta ’yaateerü pia.","Si tú remedas mi hablar, te pegaré."
Puchuwajaa siki ta ’lakajaaiwa piküin.,Prende candela para cocinarte tu comida.
¿Jamüsü sünüiki chaamaakaa namüin tepichikana nale ’ejapa?,¿Qué les dijo la bruja a los niños cuando ellos regresaron?
Nnojotkalaka pümaayaain taya jünain alu ’wanaa.,No no me has llevado a recoger datos.
Na’ajüin  aipia nü’ lanalakalü.,Él quema el cují que ha talado.
Achinashi taya wanee wunu’ u jüka wanee ipa.,Yo golpeo un palo con una piedra.
¿Atüjashi pia ouuttaa jüka korompa? ¿Atüjashi pia asonoo?,¿Tú sabes hilar con el huso  korompa ? ¿Tú sabes tejer?
"Nnojoishi antayaain jünain wanee maiku’ulia; jia mainma’alaka ni’rüin wayuuirua majayünnüü ka’walo’ulejüsü, wüitaja ashe’einrü.","No pudo encontrar ningún maizal; lo que veía mucho eran muchachas jóvenes de largos cabellos, vestidas de verde."
Alanaashi etkai nüpüleerua püliikukai.,El perro se le adelantó bruscamente al burro.
Eetaashi wanee wayuu mojulaashi ma’ in; asünaa pu’ushi sü chisa wa yuu eekai sülatüin nü’ütpünaa.,Había una vez un hombre malvado; solía quitar el equipaje a las personas que pasaran junto a él.
Üttajaa sü naa’ in jintüikai saalii tü naainjalakalüirua.,Se hartó  de pronto el muchacho  de la s bromas de ellos .
Nnojotkalaka pümaayaain taya jünain alu ’wanaa.,No no me has llevado a recoger datos.
Na’ajüin  aipia nü’ lanalakalü.,Él quema el cují que ha talado.
Achinashi taya wanee wunu’ u jüka wanee ipa.,Yo golpeo un palo con una piedra.
¿Atüjashi pia ouuttaa jüka korompa? ¿Atüjashi pia asonoo?,¿Tú sabes hilar con el huso  korompa ? ¿Tú sabes tejer?
"Nnojoishi antayaain jünain wanee maiku’ulia; jia mainma’alaka ni’rüin wayuuirua majayünnüü ka’walo’ulejüsü, wüitaja ashe’einrü.","No pudo encontrar ningún maizal; lo que veía mucho eran muchachas jóvenes de largos cabellos, vestidas de verde."
Alanaashi etkai nüpüleerua püliikukai.,El perro se le adelantó bruscamente al burro.
Eetaashi wanee wayuu mojulaashi ma’ in; asünaa pu’ushi sü chisa wa yuu eekai sülatüin nü’ütpünaa.,Había una vez un hombre malvado; solía quitar el equipaje a las personas que pasaran junto a él.
Üttajaa sü naa’ in jintüikai saalii tü naainjalakalüirua.,Se hartó  de pronto el muchacho  de las bromas de ellos.
Eesü kaa'ula jee anneerü sulu ’u Wajiirü.,Hay chivos y ovejos en La Guajira.
Eejeerü apünüinsü jula ’airua sümaa ooro.,Habrá  tres tinajas con oro.
Eetüjüitaa wanee wayuu nashi piamashii tepichi waneejetuwai nakuwa ’ipa.,Había  una vez un hombre que era padre de dos hijos de caracteres muy diferentes.
Eetaasü jüpüya nierüin laülaakai wattalu ’u ma ’aka tüsa.,Estaba  la casa de la mujer del viejo lejos como por allá.
Eeshi Luuka nipialu’u sümaa nu’wayuuse.,Lucas está en su casa con su mujer.
Eesü mainma nneerü nüma’ana tatuushi.,Mi abuelo  tiene mucho dinero.
Eeshi wanee püliikuchon wama ’ana pii chipa’a.,Nosotros tenemos un burrito en la casa.
O'uneeshiya taya - müshi  wayuukai.,De verdad que quiero ir -  dijo el hombre.
Tayaawatüin pia - müsü  jietkalü nümüin Luuka.,Yo te reconozco – le dijo la mujer  a Lucas.
"Na pütünajutukana , nnojolee chi nakaaliijain pia - majüsü  jietkalü nümüin.",Tus amigos  no te ayudarán - le decía la mujer.
Nümakalaka  jintüikai yaa: ¿Kasa püchajaaka a chiki yayaa?,Entonces el muchacho dijo: -¿Qué buscas aquí?
Sha ’waa müsü motsamüin anuuipa ’a jüchiki asaa uujolu.,Permaneció parada un rato afuera después de haber tomado  chicha.
Yüü maa ’atshi nüpüyalu ’u jüpüla tü jierü a ’ikajaapu ’ukolu niküin.,Permaneció solitaria la casa de él para la mujer que habitualmente le llevaba comida.
O'uneeshiya taya - müshi  wayuukai.,De verdad que quiero ir - dijo el hombre.
Tayaawatüin pia - müsü  jietkalü nümüin Luuka.,Yo te reconozco – le dijo la mujer  a Lucas.
"Na pütünajutukana , nnojolee chi nakaaliijain pia - majüsü  jietkalü nümüin.",Tus amigos  no te ayudarán - le decía la mujer.
Nümakalaka  jintüikai yaa: ¿Kasa püchajaaka a chiki yayaa?,Entonces el muchacho dijo: -¿Qué buscas aquí?
Sha ’waa müsü motsamüin anuuipa ’a jüchiki asaa uujolu.,Permaneció parada un rato afuera después de haber tomado  chicha.
Yüü maa ’atshi nüpüyalu ’u jüpüla tü jierü a ’ikajaapu ’ukolu niküin.,Permaneció solitaria la casa de él para la mujer que habitualmente le llevaba comida.
"Chajaakuu, chajaakuu müshija ’a joolu ’u nia, eirakawa ’ayatüshi mapünaa aka tia.","Lo buscaba, lo buscaba, miraba por todas partes."
Aashajaata müshi pia nümaa chira.,Tú te la pasas hablando a cada rato con ése.
Apototo müshi pia mma.,Tú te la pasas cavando la tierra.
O’unata müsü wüna ’apümüin tü ta ’wayuusekalü.,Mi esposa  se la pasa yendo  cada rato al monte.
Ayonnajata müsü pia nümaa alijunakai chira.,Tú te la pasas bailando a cada rato con ese alijuna.
Jutpüna majayütkalü türa.,Esa señorita es alta.
Mojulaashi wayuukai chira.,Ese hombre es malvado.
Antüshi  wanee jima’ai jutpüna /mojulaashi ma ’i.,Llegó un joven  muy rico /malvado.
Aashajaashi Juan püchiki.,Juan habla sobre ti.
Aya ’lajünüsü areepakalü putuma.,La arepa fue comprada por ti.
Jutpüna majayütkalü türa,Esa señorita es alta.
Mojulaashi wayuukai chira,Ese hombre es malvado.
Antüshi wanee jima’ai jutpüna,Llegó un joven muy rico.
Aashajaashi Juan püchiki,Juan habla sobre ti.
Aya ’lajünüsü areepakalü putuma,La arepa fue comprada por ti.
nüchiki Kamiirü,sobre Camilo
süchiki Mariia,sobre María
Taapeerü pümüin wanee  anneerü oo’ulak a wanee kaa’ula.,Te dar é un ovejo y un chivo.
Aishaanasü nüpüla tü nu'wayuusekalü oo’ulak a müsüya tü nüchonniikalü.,El hombre quería muchísimo a su mujer y a sus hijos.
Aishaanasü nüpüla tü nu ’wayuusekalü o ’tta müsüya tü nüchonniikalü.,El hombre quería muchísimo a su mujer y a sus hijos.
"Ma’aka müle ’uyuule toulian, onjulaashi taya juulia, alu ’usa jiale te ’rüin e müirüin aka taya , ashaitajaashi taya motsamüinchon jümaa.","Si eran más grandes que yo, me escondía  de ellos,  pero si yo veía que eran como yo, jugaba un rato con ellos."
"Nnojoleerü a’yataain Tareesa tamüin, alu’usa taapüle sümüin nneerü.","Teresa no trabajará para mí, si no le doy dinero."
"O’uneeshi taya Maiko’umüin pümaa, akaisa’a masapia in taya.","Yo quiero ir a Maicao contigo, pero no tengo pasaje."
"Atunkuinjanayaa waya sulu ’u miichikaa tüü, akanasa ’a kainpüse ’eraain waya.","Nosotros íbamos a dormir en esta casa, pero tuvimos miedo."
Jalaina yaamüin yaa tamaa jee toulaajeenü jaya süpüla jaa ’ayulujain.,Vengan acá y los dejaré calentarse con el fuego.
"Apünajüshii waya maiki, kalapaasü jee kepeshuuna süpüla weküin.","Nosotros sembramos maíz, sandía y fríjol para comer."
Talatashaanashi ma ’in taya aka makatüin pia tamaa.,Yo estoy muy contento porque tú te quedaste conmigo.
"Aka tütüin ma’in nia jünain olojoo, ale’ejapu’ushi jo’ukai jümaa kasirüü.","Porque él era muy diligente cazando, siempre solía volver con presas."
Pülaa’in chi ma’in pia sulu’u ke’ejenaa kemion.,Estás muy engreído porque tienes por vehículo un camión.
"Ja’itaichi asakinnüin pia, nnojoluinjatü kasain püküjain a chiki.","Aunque te pregunten, no vayas a contar nada."
"Nnojolüinjatü pü’yonoojüin  tü pu’walakalü , ja’itairü jotonta'alüin  shia.","No vayas a cortar tus  cabellos, aunque ellos cuelguen."
"Ma'aka pülü ’üjale nneerü, tachajaajeerü pümüin miichi eeinjachire püntüin.","Si tú llevas dinero, yo te buscaré una casa a la cual llegar."
"Ma’aka piküle maimawai tü jüchon  kanewakalü  tepichiiwa’aya pia, müle’upa pia müliapu’ujee chi pia jutuma tü wüñaasükalü.","Si comes muchas veces el fruto del mamón de niño, cuando grande sufrirás por la sed."
"O’uneeshi taya Maiko’umüin pümaa, akaisa’a masapia in taya.","Yo quiero ir a Maicao contigo, pero no tengo pasaje."
"Atunkuinjanayaa waya sulu ’u miichikaa tüü, akanasa ’a kainpüse ’eraain waya.","Nosotros íbamos a dormir en esta casa, pero tuvimos miedo."
Jalaina yaamüin yaa tamaa jee toulaajeenü jaya süpüla jaa ’ayulujain.,Vengan acá y los dejaré calentarse con el fuego.
"Apünajüshii waya maiki, kalapaasü jee kepeshuuna süpüla weküin.","Nosotros sembramos maíz, sandía y fríjol para comer."
Talatashaanashi ma ’in taya aka makatüin pia tamaa.,Yo estoy muy contento porque tú te quedaste conmigo.
"Aka tütüin ma’in nia jünain olojoo, ale’ejapu’ushi jo’ukai jümaa kasirüü.","Porque él era muy diligente cazando, siempre solía volver con presas."
Pülaa’in chi ma’in pia sulu’u ke’ejenaa kemion.,Estás muy engreído porque tienes por vehículo un camión.
"Ja’itaichi asakinnüin pia, nnojoluinjatü kasain püküjain a chiki.","Aunque te pregunten, no vayas a contar nada."
"Nnojolüinjatü pü’yonoojüin  tü pu’walakalü , ja’itairü jotonta'alüin  shia.","No vayas a cortar tus  cabellos, aunque ellos cuelguen."
"Ma'aka pülü ’üjale nneerü, tachajaajeerü pümüin miichi eeinjachire püntüin.","Si tú llevas dinero, yo te buscaré una casa a la cual llegar."
"Ma’aka piküle maimawai tü jüchon  kanewakalü  tepichiiwa’aya pia, müle’upa pia müliapu’ujee chi pia jutuma tü wüñaasükalü.","Si comes muchas veces el fruto del mamón de niño, cuando grande sufrirás por la sed."
Te’rüin piantua po’looin shikii polu  sünainmüin ja’rai shikii apünüinmüin,Yo vi doscientas cincuenta y tres  (253) hachas.
Amülouisü toulia apünüin shikii toleeka  mekiisalümüin.,Se me perdieron treinta y ocho  (38) sacos.
Aya’lajüshi taya [piama shikii  paa’ a(irua)].,Yo compré veinte reses.
Alatirüinja chi pia [apünüin  ai] sulu’u tü mii chi pülashiikalü.,Tú vas a pasar tres noches en el castillo encantado.
Antüshii [na pien chi tepichi moo’utshiikana ].,Llegaron los cuatro niños huérfanos.
Alü’üjünüsü nipialu’umüin reikai [tü apünüinsükalüirua jula’a ].,Las tres tinajas fueron llevadas a la casa del rey.
Awanuwa’alaa müshii [piamashii muusa mulo’uyuushaana mütsiiatalii ].,Saltaron de repente dos descomunales gatos negros.
Antüshii tepialu’umüin [ja’raishii wayuu mojulaajüshii ].,Llegaron a mi casa cinco hombres malvados.
"Waneesüyainjatü piitain, pünaajaainjatü jümüiwa’aya.","Será una sola tu totuma, y la guardarás aparte."
"Ma’aka p o’loole kaa’ulakalüirua, paapeerü tamüin.","Si fueran diez las cabras, me las darás."
Apünüinsü tü karalouta nüshajala Piipa waya’lajüinjatükalü süpüla wekirajaain.,Son tres los libros escritos por Pipo que debemos comprar para estudiar.
Apünüinjeena na kaa’ula taapeenakana pümüin.,Serán tres los chivos que te daré a ti.
"Tanaateerü pukuwa ’ipa, to ’oojiree rü pia ja’raitua  wanee kasa anasü ma ’in.","Yo acomodaré tu vida, te bañaré cinco veces con una cosa muy buena."
Mainmatua  jantüin wayuu aapiaa nüma ’anamüin laülaakai.,Llegaban muchas veces mensajeros a donde el viejo.
"Antüshi chi palaja chikai, antüshi wane’eya’asa, antüshi wanee mapaya’asa, antüshii na a chiiruaakana, antüshi chi jaja’ttiamüinja chikai.","Llegó el primero, llegó también otro, llegó otro después  también , llegaron los siguientes, y llegó el último."
"Antüshi chi palaja chikai, anta mushia wane’eya, anta müshija’a wanee mapa, antapaa mushi’iya na a chiiruaajanakana, jee müshija’a chi naja’ttiamüinja chikai.","Llegó el primero, llegó también otro, llegó otro después, llegaron los siguientes, y también el último."
Awanuwa’alaa müshii [piamashii muusa mulo’uyuushaana mütsiiatalii ].,Saltaron de repente dos descomunales gatos negros.
Antüshii tepialu’umüin [ja’raishii wayuu mojulaajüshii ].,Llegaron a mi casa cinco hombres malvados.
"Waneesüyainjatü piitain, pünaajaainjatü jümüiwa’aya.","Será una sola tu totuma, y la guardarás aparte."
"Ma’aka p o’loole kaa’ulakalüirua, paapeerü tamüin.","Si fueran d iez las cabras, me las darás."
Apünüinsü tü karalouta nüshajala Piipa waya’lajüinjatükalü süpüla wekirajaain.,Son tres los libros escritos por Pipo que debemos comprar para estudiar.
Apünüinjeena na kaa’ula taapeenakana pümüin.,Serán tres los chivos que te daré a ti.
"Antüshi chi palaja chikai, antüshi wane’eya’asa, antüshi wanee mapaya’asa, antüshii na a chiiruaakana, antüshi chi jaja’ttiamüinja chikai.","Llegó el primero, llegó también otro, llegó otro después  también , llegaron los siguientes, y llegó el último."
"Antüshi chi palaja chikai, anta mushia wane’eya, anta müshija’a wanee mapa, antapaa mushi’iya na a chiiruaajanakana, jee müshija’a chi naja’ttiamüinja chikai.","Llegó el primero, llegó también otro, llegó otro después, llegaron los siguientes, y también el último."
"Tanaateerü pukuwa ’ipa, to ’oojiree rü pia ja’raitua  wanee kasa anasü ma ’in.","Yo acomodaré tu vida, te bañaré cinco veces con una cosa muy buena."
Mainmatua  jantüin wayuu aapiaa nüma ’anamüin laülaakai.,Llegaban muchas veces mensajeros a donde el viejo.
Anteena piamawaire na ekirajüliikana.,Los maestros llegarán de dos en dos.
Antawaishii julu ’u piamawalin naya .,Ellos llegaron de dos en dos.
Niküinjatü Luuka süse ’eru'upünaa areepakalü tüü sümaa keesü.,Lucas se va a comer la mitad de esta arepa con queso.
Asüshi taya uujolu shiyatapünaa iita.,Yo bebí media totuma de chicha.
Ichaa wanee shi’ipa mürütkalüirua sulu’u wanee mmaya ’asa.,Una parte de los animales está por allá en otro lugar.
"Jüchikijee tia, jü ’la’alüin jüpüshi  uujotkolu  jietkalü julu ’u wanee kasa.","Después de eso, la mujer cogió una parte de la chicha en un recipiente."
Eetaashi yaawa wanee wayuu tütüshaanashi ma’i Piipa nünülia.,"Había, según dicen, un wayuu muy diligente llamado Pipo."
"Kojosü ma’in sirumakalü joolu’u, a’iteerü wanee juya müle’u.","Está espesa la nube, va a caer un fuerte aguacero."
"Wattamüinpa wayuukai, ni’rataalain wanee pii chiirua ma’aka tia.","Cuando el hombre ya se encontraba lejos, vio unas casas hacia allá."
"O'unushiija’a naya, ke’ejenashii wanee muulairua kakuwajüsü ma’in.","Ellos se marcharon, cabalgaban unas mulas muy veloces."
Eetaashi laülaakai joyototaain nüpüla julu’u wanee süi.,Él encontró al viejo sentado en un  chinchorro.
Nüküjainja’a jümüin tü nukuwa’ipakalü nüma’anajee chi wanee  laülaakai.,Le contó a ella lo que le había sucedido donde el otro viejo.
Alataasü wü chiichonkalü soo’omüin wanee wunu’uya ’asa.,La pajarita se pasó hacia otro palo.
A’ttaainjatü püliikukolu waneemüin ja’ata luwopukolu.,La burra va a pasar al otro lado de la quebrada.
"Antüsü wanee palajana, antüsü wanee mapan.","Llegó primero una, llegó otra después."
Alataasü wü chiichonkalü soo’omüin wanee wunu’uya ’asa.,Le contó a ella lo que le había sucedido donde el otro viejo.
A’ttaainjatü püliikukolu waneemüin ja’ata luwopukolu.,La burra va a pasar al otro lado de la quebrada.
"Antüsü wanee palajana, antüsü wanee mapan.","Llegó primero una, llegó otra después."
"Shuuti"" - müsü ni’i chi wayuukai ju’upala, ayuutüshi nushunula jü chiki a’yalajaa.","Shuuti"" sonó la nariz del hombre delante de ella, se sonó los mocos después de llora r."
"Koou, koou"" - majüsü tia sa’akapünaa mojuuikalü.","Koou, koou"" - decía aquello entre el monte."
Kakaa’ulainshi Kamiirü,Camilo tiene chivos.
Kakaa’ulainshi Kamiirü,Camilo tiene chivos.
Kakaa’ulainsü Mariia,María tiene chivos.
Makaa’ulain sai Kamiirü,Camilo no tiene chivos.
Makaa’ulain salü Mariia,María no tiene chivos.
sichuwala bollito asichuwalajaa,preparar bollitos
a’areepajaa,hacer arepas
Ayonnajüshi,"Estoy, estaba  bailando"
Ayonnajüichipa,Ya baile
Ayonnajeechi,Yo bailaré
Ayonnajüsü,"Estoy, estaba  bailando"
Ayonnajüitpa,Acabo de bailar
Ayonnajeerü,Yo bailaré
Ayonnajüshii,"Estamos, estabamos  bailando"
Ayonnajüinapa,Acabamos de bailar
Ayonnajeena,Bailaremos
Oꞌoojüshi,"Estoy, estaba bañándome"
Oꞌoojüichipa,Acabar de  bañarse
Oꞌoojeechi,Yo me bañare
Oꞌoojüsü,"Estoy, estaba bañándome"
Oꞌoojüitpa,Acabar de  bañarse
Oꞌoojeerü,Yo me bañare
Oꞌoojüshii,"Estamos, estabamos bañándonos"
Oꞌoojüinapa,Nos bañamos  ahorita
Oꞌoojeena,Nos bañaremos
¿Kasa naa Ꞌinraka?,¿Qué está haciendo?
Oꞌoojüshi,Está bañándose
¿Kasa paa ꞌinrakayütka?,¿Qué estabas haciendo?
O ꞌoojüshi,Estaba bañándome
Awataashi,"Estoy, estaba corriendo"
Awataaichipa,"Acaba, acabo de Correr"
Awataajeechi,"Correré , correrá"
Awataasü,"Estoy, estaba corriendo"
Awataaitpa,"Acaba, acabo de Correr"
Awaatainapa,Acabamos de Correr
Awataajeena,Correremos
¿Kasa paa Ꞌinraka a?,¿Qué haces?
¿Kasa jaa Ꞌinraka a?,¿Qué hacen?
¿Ekirajaasü pia?,¿Tú estudias?
¿Ekirajaashi pia?,¿Tú estudias?
¿Ekirajaashii  jia?,¿Ustedes  estudian?
¿Kasa paa Ꞌinraka a?,¿Qué haces?
¿Kasa jaa Ꞌinraka a?,¿Qué hacen?
¿Kasa paa Ꞌinraka?,¿Qué haces?
¿Kasa jaa Ꞌinraka?,¿Qué hacen?
¿Kasa paa Ꞌinraka?,¿Qué haces?
¿Kasa jaa Ꞌinraka?,¿Qué hacen?
¿Kasa n aa'inraka p üshikai,¿Qué hace tu papá?
¿Kasa sa a'inraka püika?,¿Qué hace tu mamá?
¿Kasa naa'inraka tepichikan a?,¿Qué hacen los niños?
¿Kasa jaa'inraka?,¿Qué hacen ustedes?
"Saainjala teikaa tü süika , otta naꞌanala chi tashikai tü siꞌirakat",Mi mamá hizo este chinchorro y mi papá hizo este cinturón
Paapira chi püshikai sünain ta'atapajüin nia yaa sulu 'u tü ekirajiapüleekaa sünainjee watta'ajeepa,Avísale a tu papá que lo estoy esperando aquí en la escuela desde la mañana
"Ajuittajachi taya Maiko'umüin, paainja tamüin wanee analu 'ut, no'uyaajana pia na tepichikana süma Ꞌinruꞌu taleꞌejüin","Voy a salir para Maicao, hazme un favor, acompaña a los niños mientras regreso"
"Waneeichi juya tayakai sünain a 'yatawaa sulu Ꞌu tü ekirajiapüleekalü, atüjeeshi taa 'in aashajaawa wayuunaiki mmaꞌupunaa yaa","Tengo un año de trabajar en esta escuela, quiero aprender más wayuunaiki en esta nueva oportunidad"
"Nnojoo ji'yaatüin mürütkalü, acheküsü waa Ꞌinmajüinjatüin otta alinjatüin shia wapüla","No golpeen a los animales, debemos cuidarlos y quererlos"
Eepu'usu wanee wayuu aainjülü katto Ꞌui sü'ütpa'a metkaatkaa,Había una wayuu que hacia mochilas cerca del mercado
Jiisalaaiwa maalü süka antüinjanain watta'a sulu'u ekirajiapüleeka,Hoy se acuestan temprano porque mañana deben venir a la escuela
"Peenajaa chi püshi kai, püsakirapan nüntajachin sünain tü akotchajawaakaa","Llama a tu papá, le preguntas si viene para la reunión"
"Jüyaawajaa tü jükaralo 'utasekaa, suulia -amulouisü wanee takaralo Ꞌutase - jümajuin tamüin watta'a.","Cuenten sus cuadernos, no vayan a decirme mañana que se les perdió uno."
Apotuinjana waya wanee ishi süpüla wuin watta'a shipialu 'u Sopiia.,Mañana vamos a cavar un pozo de agua en la casa de Sofía.
"O'uneenü jia maalü soꞌuka ꞌi jipialu 'umüin, ouutkajainjana wayakana ekirajüliikana.","Hoy se van temprano para la casa, porque los profesores tenemos reunión."
"Püma sümüin ekirajütka Yusmary, isaa Daniel nüina 'alüin süka ipa ko'oikaa.","Dile a la seño Yusmary, que Daniel le está tirando piedras al enjambre de las avispas."
"Püma sümüin piika shiyaꞌlajai püshe Ꞌin süpülajatka koleejia , süchikejee wakasionwa, antüinjana tepichikana sulu'u tü nasheꞌin koleejiap ülekaa .","Dile a tu mamá que te compre el uniforme, después de vacaciones todos los niños deben tenerlo."
¿Jamüsü pi Ꞌyalajakaa? püküja tamün jarat a Ꞌyaatakaa pia,¿Por qué estás llorando? dime quien te pegó
"Püwa Ꞌüla, ta'atapajüin pia, ¿jalapüsheechi püntaka?","Apúrate, te estoy esperando, ¿a qué hora vienes?"
"Chainjachi yaa taya aliikainka pipialu'umüin, akai saꞌa alaatalee in taya suulia püshakaj üle, pa 'atapaja taya watta 'a so'ulu'u pottounka","Ayer iba para tu casa pero me pase de la entrada, mañana me esperas en el portón."
"Jalaichi tawalachon, emi'ijaaj eeshi taya pümaa.","Ven primito, quiero jugar contigo."
"Maatpa, atamaj eeshiyaaje'e taya, akatsa' a atunkeein ma'in taa'in","Esta madrugada, quise levantarme, pero tenía mucho sueño"
"Aya'laj eeshi taya wanee kaa'ulairua, ¿je'reetche sülia?","Quiero comprar uno s chivos , ¿cuánto costaran?"
"¿Ayonnaj eeshi pia sümaa Tareesa, shiataapa püyonnaj eein amaa Mariia?",¿Quieres bailar con Teresa o quieres bailar con María?
"Atunk eesü taa'in, mapüsashaanasü ma'in taya.","Quiero dormir, estoy muy cansada."
Atüjeesü taya eiꞌrajaa jayeechi .,Yo quiero aprender a cantar jayeechi.
¿O'un eesü pia tamaa Maiko'umüin?,¿Quieres irte conmigo a Maicao?
¿Ekeeshi pia?,¿Deseas comer?
¿Aseeshi pia wuin?,¿Quieres agua?
¿Ekeerol eeshi pia?,¿Quieres entrar?
Yalamüin,Hacia ahí
Tapüleerua,Delante de mi
Iipünaa,Arriba
Tekia lu'u,Mi derecha
Pejee,Cerca
Pasanain,En el medio
Mmolu Ꞌu,Abajo
Chejeechiki,Desde allá
Chejeeru'u,De aquel lado
Yalejeeru Ꞌu,De este lado
Yaapünaa,Por aquí
ChaꞋaya,Allá (no tan cerca)
Yaajeeru'u,Hacia acá
Wattaa,Lejos
ShiꞋipoꞋujee,En frente de
Yaamüin,Hacia acá
Chapünaa,Por allá
Yalapünaa,Por allí
Suupunaa,Debajo
SaꞋatoꞋu,Al lado
YalaꞋaya,Allí
Chamüin,Hasta allá
