way,esp
"Te'rüin tü pükuaippakat sünain ayatüin sünain mojuin ma'i shia. Nülerajüin ma'i chi Maleiwakai akuaippaa eekai müin aka türa. Piakai, müshi isakai püchikü sünain puu'ulaain suulia paainjala.",Veo que la envidia te corroe y la maldad te tiene encadenado.
"Mataaja'a na tooloyuukana sünain noo'ulaain suulia atunkirawaa sümaa na'wayuuse, süka kee'ireein naa'in tü mojusükat namaa eekai toolojiraain wanaa namaa. Ama'üjiraashii na tooloyuukana. Je süsalashii naya tia nütüma Maleiwa.","Y lo mismo los hombres: dejan las relaciones naturales con la mujer y se abrasan en deseos de los unos por los otros. Hombres con hombres cometen acciones infamantes, y en su propio cuerpo reciben el castigo que merece su extravío."
"Je tü waüyee ejituukat eepünaale süliikatünüin aa'u sütüma wayuu, shia nakuaippa na wayuu eekai naapüin ne'e nünüiki Maleiwa sünain süsütünamaatüin tü pütchikat noulia nütüma Satanás suulia nanouja'alüin sünain süpüla no'tte'ennüinjanain nütüma Maleiwa.","La parte que cayó al borde del camino representa a aquellos que oyen el mensaje, pero llega el diablo y se lo arrebata del corazón para que no crean y se salven."
"Tamüshii jia tachikua: Mayaasüje kee'ireein waa'in chamaateein waya nümaa chi Senyotkai chaa iipünaa, ayatsia wachecherüin waa'in su'unnaa tü müliaa we'rakat kataiwa'aya wo'u yaa mmolu'u.","Rebosamos confianza, a pesar de todo, y preferiríamos abandonar el cuerpo para ir a vivir junto al Señor."
"Aa, ashijaasü wuinpejee sünain tepia.","Si, está lavando al este de mi casa."
"Je kettaapa nünüiki Jesús, ponusü ma'i saa'in tü wayuu wattakat saalin tü nikirajakat anain.Tü che'ojaaleekat ma'i süpüla saa'inrüin wayuu","Escuchando Jesús, la gente se quedaba admirada de su enseñanza.El mandamiento más importante"
Püshaja pasanain sünain karalo Ꞌutakaa sünülia tü mürüt pi Ꞌraajakaa.,Escribe en el medio de la hoja el nombre de los animales que conozcas
"Akaajaa na ekerotshiikana jünainmüin sünain ekirajaa sünain alawaa, sünainjee kasa eekai ne'rüin na'lapüinru'u, naapüin ne'iruku süpüla naa'inrüin kasa mojusü yarüttakat atüma naa'in. Nayouktüin chi Senyotkai suulia laülaain nia naa'u otta e'rüliiyaain wayumüin namüin na laülaayuushii chakana iipünaa süka nanüiki.","Pues, a pesar de todo, esos visionarios se comportan de modo semejante: profanan su cuerpo, rechazan la autoridad del Señor e injurian a los seres gloriosos."
"Tawalayuwaa, sünainjee süpüshua tü anasü naa'inrakat chi Maleiwakai jaa'u sünain nümüliajüin jia, anakaja toso'irüle jaa'in shii'iree ju'waajüinjachin nia süka süpüshua jaa'in. Saa'u jükatannüinapain nütüma suulia jaainjala, jaapajiraa jümata jukuaippa nümüin, sünain ji'yataain waneepia nümüin kataiwa'aya jo'u süpüla talatüinjachin nia jümaa.","Por tanto, por el amor entrañable de Dios les pido, hermanos: preséntense a ustedes mismos como ofrenda viva, santa y agradable Dios. Ese ha de ser su auténtico culto."
Eeshii na wayuukana maa aka poloo piammüin napüshua'a.,En total eran unas doce personas.
"Tawalayuwaa, süpülapünaa kettaain tü tashajakat jümüin, tamüshii paala jia: Anakaja müleka talatüle jaa'in saa'u sa'aniraaitpain jukuaippa nümaa chi Senyotkai. Je mayaashiije tachiajaain jia paalainka noulia na ekirajüliikana sünain alawaa, nnojotsüyaaje mojuin tamüin joolu'u tachiajaain jia jüchikua.","Por lo demás, hermanos míos, alégrense en el Señor. No me molesta escribirles las mismas cosas, si a ustedes les proporciona seguridad."
"Je nikerolapa Jesús sulu'umüin Jerusalén, patatsü saa'in tü wayuukolüirua süpüshua sümaa naashajaajiraain sünain maa:—¿Jaraikai nian? —namakalaka.","Cuando Jesús entró en Jerusalén, hubo gran agitación en la ciudad. Unos a otros se preguntaban:—¿Quién es este?"
"Je tü wayuukolüirua wattakat saalii nüpüleeruajee oo'ulaka nüchiiruajee Jesús, namayaa namakalaka emetut sünain nasaküin:“Aleluya”.“Wa'waajüin chi Maleiwakaisüka nüjütüin wamüin chi antakai wanainmüin”.",Y los que iban delante y los que iban detrás gritaban:—¡Viva ! ¡Bendito el que viene en nombre del Señor!
"Taapüin analu'ut nümüin chi Maleiwakai jaa'u. Süchepchiapü'üshii jia kaainjalaa paalainka. Je joolu'u, oonooshii jia süka süpüshua jaa'in sümaa tü shiimüin ekirajünakat anain jia maa'ulu yaa.","Gracias Dios, ustedes, que eran en otro tiempo esclavos del pecado, se han sometido de todo corazón al modelo de enseñanza que les ha sido transmitido."
"Je anashii jücheküle tü anasükat napüleerua na mojukana anüiki jümüin, sümaa jüchuntüin nümüin Maleiwa naa'u, mayaashiije e'rüliin wayumüin jümüin.",Bendigan a los que los maldicen y oren por los que los injurian.
"Je maa'ulu yaa, saa'in namüin na wayuukana oonookana sümaa nanüiki na fariseokana, lotüsü saa'in namüin. Otta so'uweena wane ka'i, shiyaawateerü aa'u wayuu wainma sünain nnojolüin pansaain nanüiki.","Porque nada hay secreto que no haya de ser descubierto, ni nada oculto que no haya de ser conocido."
Makateeshiyaaje'e taya sulu'u tü to'ulakalü,Yo quería mucho quedarme en el chinchorro
"Shiasa nujuittaapa Jesús sulu'ujee tü a'waajüleekat Maleiwa, wanaa sümaa eein naya anooipa'a, nümakalaka wane chi nikirajüinkai nümüin:—Ekirajüikalee, piirakaa sümüin tü a'waajüleekat Maleiwa, anashaatasü ma'i shia, je miyo'u ma'i tü ipakalüirua akumajuushikat aka shia.","Cuando Jesús salía del Templo, uno de sus discípulos le dijo:—Maestro, ¡mira qué hermosura de piedras y qué construcciones!"
"Otta nünüiki nüchiki chi Nüchonkai, müsü:“Aluwataajeechi pia süpüla ka'ikat süpüshuasüka piain Maleiwain wanaa tamaa.Paa'inreerü tü anasükat waneepia sümüin tü wayuu puluwataakalüirua,","del Hijo, en cambio, dice: Tu trono, oh Dios, permanece para siempre y gobiernas tu reino con rectitud."
"Nnojo ju'waataain sulu'u jukuaippa sünain nnojoleenain jaa'inrüin kasa mojusü jaajüin. Jalia jia, kaainjalashii taa jia maa aka na judíokana paala sümaiwa.","Así que, si alguno presume de mantenerse firme, esté alerta, no sea que caiga."
"Je nülü'ülapa Jesús sünainmüin eere süshakatüin tü wopukot saa'ujee tü wutai kanüliakat Olivos, talatüsü ma'i naa'in na wainmakana nikirajüin napüshua, süka ne'rapü'üin tü kasa anasü naa'inrakat Jesús, tü nütüjakat apüleerua Maleiwa nümüiwa. Na'waajakalaka joo Maleiwa sünain emetuluin nanüiki mayaa:","Cuando ya se acercaba a la bajada del monte de los Olivos, los discípulos de Jesús, que eran muchos, se pusieron a alabar Dios llenos de alegría por todos los milagros que habían visto. A grandes voces"
"Ekirajüshi joo Jesús süka sukuaippa tü kasa e'nnakat sainküin mma: “Müleka nu'uninnüle wane wayuu eekai mo'uin nütüma wane eekai mo'uinya, eeshii süpüla nojunuujiraain sulu'u ishi.",Jesús siguió hablando por medio de ejemplos:—¿Cómo puede un ciego guiar a otro ciego? ¿No caerán los dos en el hoyo?
"Taküjaitpa jümüin sünain oukteenain jia sümaa jaainjala. Müleka nnojorüle kapülain jaa'in tü tamakat sünain tayain tayakai chi taküjakai achiki, shiimain sünain oukteenain jia sümaa jaainjala —nümakalaka Jesús namüin.","Por eso les he dicho que morirán en sus pecados. Porque si no creen que «yo soy», morirán en sus pecados."
"Je nülatakalaka sü'ütpünaa wane pueulo kanüliasü Sicar cha'aya eepünaa wane mma e'ipünaalaa sümaleiwa'aya nütüma Jacob, chi natuushikai na judíokana, nüpüla José, chi nüchonkai.","llegó a un pueblo de esa región llamado Sicar, cerca del terreno que Jacob dio a su hijo José."
"O'unüsü wayuu watta saalin nünainmüin sulu'ujee süpüshua tü mmakat Judea je sulu'ujee tü pueulokat Jerusalén. Naküjüin tü naainjalakat nümüin Maleiwa, je owoutisaajünüshii nütüma Juan cha'aya shiroku tü süchikat Jordán.","La región entera de Judea y todos los habitantes de Jerusalén acudían a él, confesaban sus pecados y Juan los bautizaba en las aguas del Jordán."
"So'u wane ka'i, wanaa sümaa nu'unüin Jesús Jerusalénmüin, neenajakalaka namüiwa na nikirajüinkana polooshiikana piammüin sünain maa namüin:","Cuando Jesús iba de camino subiendo hacia Jerusalén, llamó aparte a los doce discípulos y les dijo:"
"Je wane nüchepchia chi laülaashikai, shi'rüin Pedro so'u suwarala tü sikikat. Shiirakaakalaka ma'i nia.—Nia'asa chi nümaapü'ükai chi ata'ünnakai chii —sümakalaka namüin na wayuukana.","En esto llegó una criada que, viendo Pedro junto al fuego, se quedó mirándolo fijamente y dijo:—Este también estaba con él."
"Je so'uweena ka'ikat tia, eemeraweena waya suulia tü wa'yataakat anain, maa aka neemeraainkain chi Maleiwakai süchikijee nükumajüin tü mmakat.","ya que, de haber entrado en el descanso de Dios, también él descansaría de todos sus trabajos lo mismo que Dios descansó de los suyos."
"Je na wayuukana, a'alijinnayaashije'e Pablo natüma shii'iree yaleein paala nia namaa süpüla kojuya ka'i. Je niakai, niyoukta achiküt.","Le rogaron estos que se quedara por más tiempo, pero él se negó,"
¿Kasa jaa Ꞌinraka a?,¿Qué hacen?
"Je a'waajünüshi chi Maleiwakai natüma na gentilekanaya, süka nümüliajüinapain naya. Shia tü ashajünakat achiki paala sümaiwa sünain müin mayaa:“Taapeerü pümüin analu'ut na'akapünaa na wayuu gentilekana.Ee'irajeechi taya sünain ta'waajüin pia no'upala”.","y al hacer que las naciones glorifiquen Dios por su misericordia, como dice la Escritura: Por eso te alabaré en medio de las naciones y cantaré himnos en tu honor."
"Saa'u anamiashaatain ma'i Cristo wamüin waya anoujashiikana nünain, ayatshi nia sünain aa'inraa kasa anasü wamüin.","En efecto, de su plenitudtodos hemos recibido bendición tras bendición."
Eisalawaa,Acostarse
"Je no'uluku na laülaayuukana sulu'u tü mmakat Asia, nütünajunnuu Pablo. Mataaja'a naainnua, aluwataashii nanüikü nümüin sünain nnojolin nüshutajachin sa'akamüin tü wayuukalüirua süpüla aashajawaa sümaa.","Incluso algunos amigos suyos, que ostentaban altos cargos en la provincia de Asia, le enviaron aviso para disuadirlo de que hiciera acto de presencia en el teatro."
"Nayasa'a napüshua'a na wayuu e'rakana tü naa'inrakat na Aluwataaushikana, oponojooshii sümaa, tü kasa nütüjakat apüleerua Maleiwa nümüiwa otta tü kasa nii'iyatakat aka nüpülain.",Todo el mundo estaba impresionado a la vista de los numerosos prodigios y señales realizados por los apóstoles.
Anakaja müleka ichere naya sünain tü shiimüin nii'iyatakat Maleiwa namüin süpüla natüjaainjatüin saa'u tü naa'inrakat nayakana sünain anasüin nu'upala Maleiwa.,que guarden las verdades de la fe con una conciencia limpia.
"Anuu watta sa alii ayakuwaa, paapa waneesia, pulatira namüin na waneeirua.",Aquí hay varias imágenes toma una y le pasas a los demás.
atunkaa,dormir
"Je eeiwa'aya aikat, Pablo, naashajaa amaana naya napüshua'a süpüla neküinjanain. Müshi nia namüin:—Alatüirü poloo pienchimüin ka'i jaa'u sünain nnojoliin jikakai aa'in, sünain shiataain ja'atapajüin ma'i kaseerüin alatüin mapeena.","En tanto amanecía, rogó Pablo a todos que tomaran algún alimento:—Hoy hace catorce días —les dijo— que están en espera angustiosa y en ayunas, sin haber probado bocado."
"Piakai, nnojoishi püpesujüin taya wanaa sümaa püsaküin taya tantaiwa'aya. Alu'usa shiakat, moo'ulaainyülia suulia epesujaa too'ui.","Tampoco me diste el beso de bienvenida; en cambio ella, desde que llegué, no ha cesado de besarme los pies."
"“Je chi ka'apainseshikai süchikijee tia, ‘¿Kaseerü cheje taa'inraka?’, ma müsü naa'in. ‘Anashi tajütüle chi tachonkai aishikai ma'i tapüla. Kojuttaajeechipa eera nia natüma’, müshi.","Entonces el amo de la viña se dijo: «¿Qué más puedo hacer? Les enviaré a mi hijo, a mi hijo querido. Seguramente a él lo respetarán»."
"Akaajaa chi wayuu eekai nücheküin süpüleerua miyo'uweein ja'aka, acheküshi niainjachin jüüjüüin jümüin jüpüshua.","y si alguno quiere ser principal, que se haga servidor de todos."
"Alu'ujasa'aya chi eekai nikerolüin so'ulu'upünaa, nia'aya chi shiimainkai anneetpü'üin.",El pastor de las ovejas entra por la puerta.
"sünain namüin nümüin:—Müleka pialeje chi Cristo Nüneekajalakai Maleiwa, püshantaja saa'u jaralin ashe'etüin pia —namakalaka nümüin sünain neme'erainpalain nia.Aattajaashi Pedro naa'u Jesús","diciendo:—¡Adivina, Mesías, quién te ha pegado!Pedro niega Jesús"
"Achuntüshi taya wainmatua nümüin Cristo jaa'u, shii'iree naapüin jümüin wainma tü kasa anasü iipünaajeejatkat. Je joolu'u sünain to'unüinjachin jünainmüin, tatüjaa aa'ulu sünain shikeraajüinjatüin süpüshua tü tachuntakat apüla.",Estoy seguro de que la visita que pienso hacerles cuenta con la plena bendición de Cristo.
"Wane wayuu, nüshatapa tü ekirajünakat anain nütüma chi ekirajüikai, shieerü nikirajaka anain tü ekirajünakat anain nia paala”, nümakalaka namüin na nikirajüinkana.","Ningún discípulo es más que su maestro, aunque un discípulo bien preparado podría igualar a su maestro."
je namüin na sülaülashiikana mma e'itaanakana nütüma süpüla süsalainjatüin natüma wayuu eekai saa'inrüin kasa mojusü je süpüla na'waajüin eekai saa'inrüin kasa anasü.,ya a los gobernantes puestos por Dios para castigar a los malhechores y premiar a quienes observan una conducta ejemplar.
Namakalaka joo na laülaashii judíokana namüin sünain neme'erainpalain naya:—¿Kapülaitpa jaa'in jiakanaya joo tü alawaa aküjünakat nütüma?,Los fariseos replicaron:—¿También ustedes se han dejado seducir?
"Shiasa süchikijee naashajaain chi Senyotkai Jesús namüin, nu'uninnakalaka chaa iipünaamüin eemüin chi Maleiwakai sümaa nüikkalaain nikialu'ujee.","Después de conversar con sus discípulos, Jesús, el Señor, ascendió al cielo y se sentó junto Dios, en el lugar de honor."
"Je müsia aka sukuaippa nütüma sünain nütülüittirüin tü ishakat saa'u tü a'waajüleekat oo'ulaka saa'u süpüshua tü korolokolüirua yaakat sulu'u, tü ni'yataakat aka nümüin chi Maleiwakai.",Después roció con sangre la Tienda de la presencia y todos los objetos reservados para el culto.
"Je na aapakana nanüiki, ponusü ma'i naa'in tü naküjalakat.",Y todos cuantos escuchaban a los pastores se quedaban asombrados de lo que decían.
"Nüküjain David paala sümaiwa nüchiki wane achekünakai amüin süchiki anajirawaa nümaa Maleiwa. Naashin David, nnojotsü sünainjeejatüin tü kasa anasü naa'inrakat, sükajeejatü nünoujain nünain Maleiwa. Anata'aleeshija'a ma'i chi wayuukai naashin David. Müsü tü nüshajakat:",Igualmente David llama dichoso a aquel a quien Dios le tiene en cuenta la justicia con independencia de las obras:
"Wayakana, nnojoliija'a süpüla woo'ulaainjanain suulia aashajawaa süchikü tü kasa we'rakat otta tü waapakat süka wache'e.","Por nuestra parte, no podemos dejar de hablar de lo que hemos visto y oído."
"Anu'uya wayuu sulu'ujeejatü tü mmakat Partia, sulu'ujeejatü tü mmakat Media, sulu'ujeejatü tü mmakat Elam, sulu'ujeejatü tü mmakat Mesopotamia, sulu'ujeejatü tü mmakat Judea, sulu'ujeejatü tü mmakat Capadocia, sulu'ujeejatü tü mmakat Ponto, sulu'ujeejatü tü mmakat Asia.","Entre nosotros hay partos, medos y elamitas; los hay que residen en Mesopotamia, en Judea y Capadocia, en el Ponto, en la provincia de Asia,"
"Kettaapa nuwoutisaajünüin Jesús, asha'walaa müshia nia shirokujee tü wüinkat. Je wanaa ma'i sümaa tia, eerulaasü tü sirumakat chaa iipünaa. Ni'rakalaka Jesús chi Naa'inkai Maleiwa sünain ashakataa nünainmüin sünain müin aka saa'in wane mo'uwa.","Una vez bautizado, Jesús salió enseguida del agua. En ese momento se abrieron los cielos y Jesús vio que el Espíritu de Dios descendía como una paloma y se posaba sobre él."
"Tawalayuwaa, wanaa sümaa tü müliaa ji'rakat, soto jaa'in nakuaippa na nünüikimaajanakana chi Maleiwakai paala sümaiwa. Mayaainje ne'rapü'üin namüliain sünainjee aküjaa nünüiki Maleiwa, ayatshi'iya sünain aküjaa süka nachecherüin naa'in.","Como ejemplo de sufrimiento y de paciencia, tienen a los profetas, que hablaron en nombre del Señor."
Apantajaashi chi ka’ruwaraikai [juulia ata’ünnaa jüpüla pulusiia ].,El ladrón salió corriendo para no ser atrapado por la policía.
ShiꞋipoꞋujee lawatorakaa,A la derecha del perro
"Tawalayuwaa, saa'u tü jüsakitkat anain taya soo'opünaa tü jütüjakat apüleerua nütüma chi Naa'inkai Maleiwa, tacheküin süpüleerua jiyaawatüinjatüin saa'u.","En cuanto a los dones del Espíritu, no quiero, hermanos, que desconozcan lo que a ellos se refiere."
Washitshaanas hi ma’i wayuukai chii,Este hombre es muy rico
"Tüü, süpülajatü aapülijia jia. ¿Shiataapa süka nnojolin eein ja'aka eekai nütüjain süpüleerua akumajaa sukuaippa tü o'ttaakat jümüin?",Se lo digo a ustedes para su propia vergüenza. ¿Es que no hay entre ustedes ni siquiera uno capaz de resolver estos litigios entre hermanos?
Aipirua,Aipirua
"So'u tü ka'i neemeraakat o'u na judíokana, awaralijaashi Jesús namaa na nikirajüinkana sulu'u wane wopu pasanainpünaa sünain wane yüüja. Je na nikirajüinkana, süka ouktüin jamü naya, nasürüttapünaain wane a'ttiee kanüliakat “trigo” sünain nashalejüin shia.",En cierta ocasión estaba Jesús paseando en sábado por entre unos sembrados. Sus discípulos sintieron hambre y se pusieron a arrancar espigas y a comerse los granos.
"O'uneechi taya wattaꞋa  pipialu 'umüin, punaajaai kepein","Mañana  voy para tu casa, me guardas café"
Si'ira,cinturón(m)
"Eesü süpüla tajuittinneechin maalü sulu'ujee tü kaatsetkat müleka ayatüle pia sünain achuntaa taa'u nümüin Maleiwa. Sükajee tia, tachuntüin joolu'u pümüin süpüla yapainjatüin tapüla pütüma wane paü pipialu'u süka pi'iyoujeechin taya mapeena saa'in tamüin.","Y, de paso, prepárame hospedaje, pues espero que gracias a las oraciones de ustedes se me conceda poder visitarlos.Saludos finales"
"Niasa'a Pedro, nikerotitkalaka naya paülü'ümüin. Atunkaashii naya nüma'ana so'u tia. Je watta'amüin, nu'unakalaka namaa. Otta eesü no'uluku na anoujashii Jopeje'ewaliikana o'unüin namaa süpüla nu'uyaajanaa Pedro.Pedro sünain aküjaa nipialu'u Cornelio","Pedro los invitó a pasar la noche allí y, al día siguiente, se puso en camino con ellos, acompañado por algunos hermanos de Jope.Pedro en casa de Cornelio"
Palajatükalü Atüjünüin,Lo primero que se aprende
"Shiasa'a naapapa tü nümakat Esteban namüin, üttüsü ma'i naa'in otta jashichishii ma'i naya nümüin.","Estas palabras desataron su cólera, y se recomían de rabia contra Esteban."
Ja'waliuu m üsüja'a naa'u wayuukai wopulu'u; atunkeeshi nia.,"Pues bien, le anocheció al hombre por el camino; deseaba dorm ir."
"—Senyotkalee, anoujashi taya pünain joolu'u —nümakalaka sünain nu'waajüin Jesús.","El hombre dijo:—Creo, Señor.Y se postró ante él."
"“¿Jamakuaippaliikai waya süpüla kachoinjanain?”, müsü naa'in nüle'eru'u Abraham. Mayaainje sülü'ülüin polooin shikii juya nuuyase je maralüin Sara tü nu'wayuusekat, ayatsü nünoujain sünain naapeerüin Maleiwa kachonwaa namüin.","Y no vaciló en su fe, aun siendo consciente de que su cuerpo carecía ya de vigor —tenía casi cien años— y de que el seno de Sara era ya incapaz de concebir."
"Je so'u wane ka'i, antüshi Jesús sulu'umüin wane pueulo eere wane wayuu mayeinshi sütüma aja'ttaa ata. Je ni'rapa Jesús, arütkaashi nia nünainmüin sünain palastaleein nia yaa nümülatu'u sünain nüchuntüin nümüin:—Senyotkalee, müinka pücheküle, piiyaja taya —nümakalaka chi wayuukai.","En uno de los pueblos por donde pasaba Jesús, había un hombre cubierto de lepra. Al ver Jesús, se postró rostro en tierra y le dijo:—Señor, si quieres, puedes limpiarme de mi enfermedad."
Ee jumata jaa'in sünain tü mojusü naa'inreekat Satanás chi sülaülakai yolujaa naka na anoujashiikana sainküin mma. Motüsü waa'in naainjala chi wayuukai suulia nükana'alüin waya Satanás.E'itaanüshi Pablo süpüla aküjaa nüchiki Cristo,"Hay que evitar que Satanás saque partido de esto, conociendo como conocemos sus ardides.Breve estancia en Troas"
"Nüntakalaka joo Pedro nüchiiruajee sünain nikerotomaatüin sünain ni'rüin tü kuluutkat jachitüin, tü oko'ojünakat aka müliashii,","Después, tras sus huellas, llegó Simón Pedro y entró en el sepulcro. Vio las vendas de lino en el suelo"
"“Nümakalaka joo chi nüshikai namüin na nüchepchiakanairua: ‘Jüsaaja jümata tü tashe'in anashaatasükat ma'i süpüla ja'atüinjatüin nünain. Oo'ulaka wane tasüttiijase, ji'itaa sünain najapü. Oo'ulaka wane asapaatsee, ja'ata sünain nuu'ui.","Pero el padre ordenó a sus criados: «¡Rápido! Traigan las mejores ropas y vístanlo, pónganle un anillo en el dedo y calzado en los pies."
"Otta müsia maa'ulu yaa, saa'u ji'raajüin nia je saa'u ni'raajüin ma'i jiakana, ¿jamüshii jia ju'ttaka'a jüchikua sünain juushikajaain süchiirua tü shikirajakat anain wayuu manoujainsat? ¿Keejiasü jümüin achepchiawaa jüchikua sütüma tia? Nnojoleena akaaliijünüin jia sütüma sünain jaa'inrüin tü kasa anasü nüchekakat jüpüleerua Maleiwa.","Pero ahora que ya conocen Dios o, mejor dicho, ahora que Dios los conoce, ¿cómo es que vuelven a dejarse esclavizar por esas realidades mundanas que no tienen fuerza ni valor?"
Suluwataajee chi  Marakariita   shipiuunasekai .,Margarita enviará a su sirviente.
Pünaajaa tamüin,Guárdamelo
"je püchekeerü süpüleerua shiakalüiruaya saa'inrüinjatüin tü anasükat.Müleka saa'inrüle tü mojusükot, pülerajeerü tia.Je sünainjee tia, kojutshi pia noulia na pümaajanakana tatüma tayakai chi Pümaleiwasekai.Je joolu'u, süka taneeküin pia süpüla puluwataainjachin,talatüsü ma'i paa'in”.","Has amado la justicia y odiado la maldad; por eso Dios, tu Dios, te ha ungido con óleo de alegría haciéndote sobresalir más que tus compañeros."
"Nnojotsü müin aka pia pounuwajayaasü, mamaneejasalü jiairua ya'asa .","Ellas no son delgadas c omo tú, y además no son amables ."
"Wattamüinpa wayuukai, ni’rataalain wanee pii chiirua ma’aka tia.","Cuando el hombre ya se encontraba lejos, vio unas casas hacia allá."
Müsü nünüiki Jesús sümüin tü wayuukolüirua süka “Yolujaa ne'e” namüin na karalouktamaajanakana nümüin chi Naa'inkai Maleiwa chi niyu'lakai aka yolujaa.Tü niikat je na nuwalayuukana Jesús,Esto lo dijo Jesús contra quienes afirmaban que estaba poseído por un espíritu impuro.La verdadera familia de Jesús
