way,esp
"Chi jintüichonkai, nnojoishi mayaain jaa’in maa’awashi, nnojoishi mapüsa -yaain nia ya’asa .","El muchachito no parecía estar perdido, ni tampoco muerto de cansancio."
"A'anüi si'ira chi ta'laülakai Vicente , pümaa nümüin nüikai waneesia.","Mi tío Vicente hace cinturones, dile que te venda uno."
b. ¿Jalapüsheena antüin na alijunakana?,¿A qué hora llega la visita?
"Aka tütüin ma’in nia jünain olojoo, ale’ejapu’ushi jo’ukai jümaa kasirüü.","Porque él era muy diligente cazando, siempre solía volver con presas."
O’una meechii Kamiirü.,Camilo se irá de pronto.
Aluwataanüshi wayuukai wüna'apümüin jünain olojoo i rama.,El hombre fue mandado al monte a cazar venados.
"Kojosü ma’in sirumakalü joolu’u, a’iteerü wanee juya müle’u.","Está espesa la nube, va a caer un fuerte aguacero."
Seinjana,Vendrán
Aashajaashi Juan püchiki.,Juan habla sobre ti.
"O’unaleeshi’ iya waya, süchiki yalain waya iipünaa [apünüin oora ].","Nos fuimos, después de estar tres horas allí arriba."
"Mayaasü te'rüin ma'in pia, aisü ma'in pia tapüla.","Mientras más te veo, más te quie ro."
apütayü i,hace un rato corto dejé
Shiliwala,Estrella
"Antüshi chi palaja chikai, anta mushia wane’eya, anta müshija’a wanee mapa, antapaa mushi’iya na a chiiruaajanakana, jee müshija’a chi naja’ttiamüinja chikai.","Llegó el primero, llegó también otro, llegó otro después, llegaron los siguientes, y también el último."
Dasneiris sümaa Jennifer jee aashaje Ꞌetsü wanee karalo'uta,Dasneiris está hablando con Jennifer y lee un libro.
Paaruuta,Animal macho
* Mojulaa wayuukai chira .,Ese hombre es malvado.
Ana putuma türa Ø checheiwa kojonkolu.,Acomoda bien eso para que el cajón quede apretado.
nüchiki Kamiirü,sobre Camilo
Maiki,Maiki
Apotuinjana waya wanee ishi süpüla wuin watta'a shipialu 'u Sopiia.,Mañana vamos a cavar un pozo de agua en la casa de Sofía.
¿Ekeerol eeshi pia?,¿Quieres entrar?
Paapaa susukoo tüü sümaa ja'rai shikii nneerü,Toma la mochila  esta con cincuenta monedas
"Aya'laj eeshi taya wanee kaa'ulairua, ¿je'reetche sülia?","Quiero comprar uno s chivos , ¿cuánto costaran?"
Taainjüi njatü wanee anüliairua namaa na eejiranainjanaka.,Voy hacer una lista con los que quieran participar.
"Mayaasü ma'in piyonnajüin, mariaawashaanaleesü pia.","Mientras más bailas, más te mareas."
Nümakalaka jintüikai yaa: ¿Kasa püchajaaka achiki yayaa?,Entonces el muchacho dijo: -¿Qué buscas aquí?
Wainjaa,No sé
Yaa sülu'u tüü mma kolonpiaka kajütüitpa süpushuaya tüü akua'ipaka.,El Estado reconoce y protege la diversidad étnica y cultural de la Nación colombiana.
Ekettaajeechi taya juya  kashikaa tüseena,El otro mes  cumplo años
Ayonnajüinjachi taya watta'a sünain wanee miꞋirakaa,Voy a bailar mañana en una fiesta.
¿Anasü yaaje?,¿Está bueno desde aquí? (camino)
Mulo'u ma'in pia toulia; katchin paje'e ma'in taya puulia,"Tú eres más grande que yo, pero yo soy más fuerte que tú."
O’unata müsü wüna ’apümüin tü ta ’wayuusekalü.,Mi esposa  se la pasa yendo  cada rato al monte.
Uuchi,Cerro
Acheküsü [o'otojoonaa türa püshe'einkalü ].,Es necesario que esa ropa tuya sea sacudida.
Mo'unuinsai so ꞌukaꞌi,Hoy no fue
Yaashi Piipa  ashajüin wanee karalouta  süchiki wayuunaikikalü.,Pipo está aquí escribiendo un libro sobre la lengua wayuu.
"Y camino a M eraatuushi,","Y camino a M eraatuushi,"
"Wakamu'ulaasü saanüküirua, müin aka wan ee malasüirua.",Se han quedado con la boca abierta como unos tontos.
Talatashaanashi ma ’in taya aka makatüin pia tamaa.,Yo estoy muy contento porque tú te quedaste conmigo.
"Mojulaashi ma’in jintüikai, ja'itaakaja'a janain a’ülüjain nümüin.","El niño es muy malo, aunque sea cualquier persona que lo regañe."
"b. Nnojoo, seerü joolu'u Maatta sümaa Mariia.","No, ahora viene Marta con María."
Eeshi Luuka nipialu’u sümaa nu’wayuuse.,Lucas está en su casa con su mujer.
Tayeechi o'una ka Karaakamüin.,Yo soy el que irá a Caracas.
Akotchajaa,Recoger
Si'ira,cinturón(m)
¿Kasa mürüt shiyaawasekat Iipuana?,¿Cuál es el animal que representa a los Iipuana?
Tü atchinjirawaakalü wanee shaitaa.,La lucha (= el luchar) es un juego (= jugar).
Warait eerü Jusepiin a nachiirua na alijuna kana.,Josefina caminará  detrás de los criollos.
Nnojolü injatü  ayonnajü in puwala nümaa,Tu hermana no va a bailar con él.
Uujolu,Chicha
¿Jamüsü sünüiki chaamaakaa namüin tepichikana nale ’ejapa?,¿Qué les dijo la bruja a los niños cuando ellos regresaron?
Püshakatira ka tioꞌu yalakaa s aaꞋu miichika.,Baja la gallina que está arriba de la casa.
Palaajee,Desde el mar
¿Jamataalasü nünüiki nashikai namüin tepichikana sünain [nüpütüin naya ]?,¿Qué les dijo el padre a los niños al dejarlos  él a ellos ?
"Ayaꞌlajüinjatü  wüiirü, ¿eesü püma'ana ?","Voy a comprar auyama, ¿tú tienes?"
Jalaina yaamüin yaa tamaa jee toulaajeenü jaya süpüla jaa ’ayulujain.,Vengan acá y los dejaré calentarse con el fuego.
"Anu'usa tüü, kettaj eerü pümaa , wainmairü waiküin.","Estas te van a quedar bien, hemos vendido varias."
chon DIMINUTIVO  apütachonshi,deja alguito
Iipünaa,Arriba
Talatüsü,Está contenta
Ayuluichipa taya shiipüse teikalü.,Yo acabo de sacar los restos de mi madre.
"Anüü eküütka, ja'isü shiaje Ꞌe.","Aquí está la comida, está caliente."
¿Jaraleerü epitaja ka pipia yaa?,¿Quién barrerá tu casa?
"Jayas ü, tayaꞌlajeer ü tayakaa sümüinka maama, tas ülajeer ü suꞌutpünaa sukump üliijüin  juya.","Están baratos, yo compro  las de mi mamá,  se las voy a  regalar el día de su cumple años."
"Nojotsü süpula amoutünüinjachin wanee wayuu so'opüna na'in, nojoluinjana jamajüin atuma, nojoluinjana a'innüin naka wanee kasa ekai nojolüin süpulajatüin wayuu.","Nadie será sometido a desaparición forzada, a torturas ni a tratos o penas crueles, inhumanos o degradantes."
Atpanaa,Conejo
Yalejeeru Ꞌu,De este lado
ja'isü ka'ikaa  süma'inru'u  jipialuꞌujana jia,La llamé al celular de la hermana.
Püntira tamüin wanee santaalia ee ishoin suno'u sü müinjatü tachon.,Me traes unas sandalias rojas para mi hija.
¿Jaralii nojotta ka etkai yaa?,¿A quiénes mordió el perro?
"Eejüsü naa'in, eiraküin müshi pansaa jümaa tü wopukolu.","Él estaba alerta, miraba a cada rato en la dirección del camino."
"¿Jalapüsheerü ottuin  tü akotch ojowaaka? o'uneemateesh ii nash ikana tepichik aa, kama 'aliina a'tapajüin","¿A qué hora es la reunión ? los padres de los niños se quieren ir , tienen rato de estar esperando"
"Jüntai aliika yaa k oleejialu'umüin, eikünajana ji a sünain alijunaiki","Hoy en la tarde vengan a la escuela, tenemos clase de español"
Pajapü,Tu mano
Sha ’waa müsü motsamüin anuuipa ’a jüchiki asaa uujolu.,Permaneció parada un rato afuera después de haber tomado  chicha.
Aya’lajüshi taya [piama shikii  paa’ a(irua)].,Yo compré veinte reses.
"Püwa Ꞌüla, ta'atapajüin pia, ¿jalapüsheechi püntaka?","Apúrate, te estoy esperando, ¿a qué hora vienes?"
Pülaa’inchi ma’in pia julu’u ke’ejenaa kemion,Tú eres muy presumido por el hecho de tener un camión.
¿Jaralü aikalaa ka pa'ato'u yaa?,¿Quién se sentó a tu lado?
Atüjeesü taya eiꞌrajaa jayeechi .,Yo quiero aprender a cantar jayeechi.
¿Jamüshi pia pu’una pümakalaka tepialu’jee?,¿Por qué te fuiste de  mi casa de repente?
Mapüi,arriba
"Puluwataai  nneetkaa jooluꞋu , ayaꞌlajiyeenjatü epiyaseekaa","Mandame la plata ahora , para comprar medicina"
apütünaa,ser dejado
Anasü ma'in katünajutuu. Talatüshi ma'in taya aka katünajutuin taya wanee walirü.,Es bueno tener un amigo. Yo estoy muy contento de tener un amigo zorro.
Eküichipa chira jintüikai.,Ese niño acaba de comer.
Nnojotsü anain jüpüla ookotünaa poolotoiwa'aya tü uujotkolu.,No es bueno que sea bebida la chicha estando todavía caliente.
Aa’ayajiraakuu maa ’atsü naa ’ujee tü nüpüshikalüirua.,Los familiares discutieron acaloradamente a causa de él.
Teenajüin sulu'u süserulaatse suwalakaa.,La llamé al celular de la hermana.
"Ma’aka kanneetse re taya, aya’lajüshi je taya wanee piichi.","Si tuviese dinero, compraría una casa."
Akulaalajuushi tü apainkat süka sütüna aipia.,La huerta está cercada con ramas de cují.
Jüikalaa jüpüshuwa'a.,Siéntense todos.
"Eetaashi wanee wayuu moju laashi ma’ in; asü naa pu’ushi süchisa wa yuu eekai sülatüin nü’ütpünaa, nu’uta aa’ inrüya shia süchikijee tia.","Había una vez u n hombre malvado; solía quitar  el equipaje a las personas que pasara n junto a él, y las asesinaba después."
"Maatpa, a'waateeshi taya mmaapümüin: ¡Eii mma, aisü  pia tapüla!","Esta madrugada, quise gritar hasta ultratumba: ¡Tierra madre , te amo!"
"Maatpa, atamaj eeshiyaaje'e taya, akatsa' a atunkeein ma'in taa'in","Esta madrugada, quise levantarme, pero tenía mucho sueño"
"Püma sümüin piika shiyaꞌlajai püshe Ꞌin süpülajatka koleejia , süchikejee wakasionwa, antüinjana tepichikana sulu'u tü nasheꞌin koleejiap ülekaa .","Dile a tu mamá que te compre el uniforme, después de vacaciones todos los niños deben tenerlo."
achajaaushi,es (lo) buscado
Joo'uya amouyuwoumüin [pü'yalaja iwa jü'ütpa'a pu’wayuusekalü ].,Vamos al cementerio para que llores junto a tu mujer.
"Na jo'uuchenkana, nayainjana awate'eraka yosu.","Los menores, van a participar en carreras de carritos de cardón."
Makaa’ulainsalü Mariia,María no tiene chivos.
¿Kasa jaa Ꞌinraka?,¿Qué hacen?
¿Jaleerü te'itaain tü wotsakat?,¿Dónde coloco esta bolsa?
Ounejaa,Llamar
¿Jaralü karalouta nülü'üjee ka Juan yaa?,¿Cuál papel quiere llevarse Juan?
achajawaa,buscar
Antüshii [na pienchi tepichi moo’ utshiikana ].,Llegaron los cuatro niños huérfanos.
"Alü'üjainjatüyaa taya eküülü, akatsa'a moto'olu in taa'in","Yo iba a traer comida, pero a mí se me olvidó."
Naapüin chi alijunakai wanee karalo ’uta nümüin chi jintüikai .,El criollo le dio  un libro al niño.
Aishaanasü nüpüla tü nu'wayuusekalü oo’ulak a müsüya  tü nüchonniikalü.,El hombre quería muchísimo a su mujer y a sus hijos.
¿Nnojolinja'a jamajüin pia müinma'a pia yaa? - müshi laülaakai.,¿Y no te ha pasado nada así como estás? - dijo el viejo.
"Aa, jamaleein tü pülüin, eirakaakuu müs hi tamüin, kayamülasü taya jutuma jo'u.","Ah, no sabes que ese nie to tuyo se puso a mirarme, sus ojos me produjeron un cosquilleo."
Eejet üyaaje'e yaawa atpanaakalü eepünaale  waraitüin  nia.,"Según se dice, sí había conejos por donde él andaba."
aata A TIEMPO  apütaatüshi,deja a tiempo
Püshaja pasanain sünain karalo Ꞌutakaa sünülia tü mürüt pi Ꞌraajakaa.,Escribe en el medio de la hoja el nombre de los animales que conozcas
Tayeechi  o’unaka Maiko’umüin pümaa.,Seré yo el que  va a Maicao contigo
"Mojulaashi ma'in chi tachonkai, [tojulajüin jase'e nia pejeewa ].","Mi hijo es muy malo, por eso le pego a cada rato."
"Ojutuushi taya sa a'ujee mootokaa aliikama 'inka, eweetüsü  wanee p üliikü tapüleeru wa","Antes de ayer  me caí de la moto, se me atravesó un burro"
achajaapia müshii,cada quien busca
Ajütüshi taya imeeirülu’u [piama sü kanüliasü aka’ato’ujuushi ] pümüin.,Te envié por correo electrónico dos documentos adjuntos.
"Nnojoishi achajaal in taya, jee nnojoishii tama’ana achajaalii aküjakana tamüin","Yo no soy explorador, ni tengo exploradores que me informen."
Nüsirüin laülaakai wanee wunu'u [suulia mojujain nüle'e sutuma niküinkalü ].,El viejo le hizo beber un remedio para que no se le dañase el estómago a causa de la comida.
achajaawaajüshi,siempre busca
¿Je’tshi alijuna merikaanakai chira?,¿De qué tamaño es ese norteamericano?
Tashunuu,hermanita
"Nnojois hi antayaain jünain wanee maiku’ulia; jia mainma’alaka ni’rüin wayuuirua majayünnüü ka’ walo ’ulejüsü, wüita ja ashe ’einrü.","No pudo en contrar ningún maizal; lo que veía mucho  eran muchachas jóvenes de largos cabellos, vestidas de verde."
¿Jamüsü pütü jaakaa saa'u?,¿Tú cómo sabes eso?
Pi'itaa yaajeeruꞋu.,Ponlo de este lado.
¿Atüjashi pia ouuttaa jüka korompa? ¿Atüjashi pia asonoo?,¿Tú sabes hilar con el huso  korompa ? ¿Tú sabes tejer?
SaꞋatoꞋu,Al lado
Kamalainsü tamüin  jemi'ira.,Me gusta vuestro entretenimiento.
"Eetaapa’a shia nüpüla süchikijatü o’oojoo, ma'atüinyülüya süshe’in.","La encontró después de ella bañarse, todavía no se había puesto su vestido."
Nümakalaka  jintüikai yaa: ¿Kasa püchajaaka a chiki yayaa?,Entonces el muchacho dijo: -¿Qué buscas aquí?
Ochotuuinjatü etkalü jutuma kaliinakalü.,La perra iba a ser picoteada por la gallina.
"Ayonnajüsü Mariia (taya, shia, pia)","María baila (yo,  ella, tú)."
"Nnojotsü paa'ain jia ya'asa , nnojotsü amain jia ya'asa .","Eso no era una vaca, y no era un caballo  tampoco ."
Pülaa’in chi ma’in pia sulu’u ke’ejenaa kemion.,Estás muy engreído porque tienes por vehículo un camión.
Ayuuishi,Está enfermo
"Ma’aka nnojorü le ja’yain nneetkalü, outeechi pia tachiki tale’ejapa.","Si no aparece el dinero, te mataré después cuando vuelva."
¿Ekirajaasü pia?,¿Tú estudias?
"Keila          Jamaya a, kakalia rü nnojolüin tatijaain paa'u, ¿kasa paa'inraka ?","Hola, rato sin saber de ti y ¿qué haces ?"
uushi PASIVA  apütüüshi,es (lo) dejado
"Keila Aneerü jo o ajatteerü tü juyaka a, süpüla  puwarai njaanchi n taa'u, ¿jamüsü mmapa'aka chapün aa pipialu ꞌu?","Pronto se acabar á tanta lluvia y podr ás venir a v isitarme , y ¿c ómo está  el clima por tu casa?"
¿Jalasü a’yataain puwalak alü yaa?,¿Dónde trabaja tu hermana?
aata RÁPIDO  apütaatüshi,deja rápido
Pi'itaa amüchiikalüirua suupuna meesakaa,Coloca las múcuras debajo de la mesa
Nüpoluin,El hacha de él
Mojulaashi wayuukai chira.,Ese hombre es malvado.
Ayatüsü,Es igual
"¿Ayonnaj eeshi pia sümaa Tareesa, shiataapa püyonnaj eein amaa Mariia?",¿Quieres bailar con Teresa o quieres bailar con María?
Aya’lajüna atoleekaschi Juan tatuma.,El saco de Juan fue comprado por mí.
Sünainjee ayaakuwaakairua piyu'la süchiki süka pünüiki.,Con estas imágenes van a armar una historia con sus propias palabras.
Aya ’lajünüsü areepakalü putuma.,La arepa fue comprada por ti.
maata INMEDIATEZ  apütamaatüshi,deja de inmediato
Antapüchi meena kaa'ulaka na,Los chivos irán llegando salteados
Waapüin  wanee shi'ira kasa kayarülasü; nnojotsü shi'ira in mo'uwa,Nosotros escuchamos el sonido de una cosa horrible; no era canto de una paloma.
Antüshi  wanee jima’ai jutpüna /mojulaashi ma ’i.,Llegó un joven  muy rico /malvado.
Chü’ü  taikalaaka aa’u tantapa yaamüin yaa.,Es excremento sobre lo que  me senté  cuando llegué aquí
Mayonnajüinsai Kamiirü sümaa Noora,Camilo no bailó con Nora.
Kakaa’ulainsü Mariia,María tiene chivos.
"Ayonnajüshii wayuukana (waya, naya, jaya)","Los wayuu bailan (nosotros, ellos, Uds.)"
Paapira chi püshikai sünain ta'atapajüin nia yaa sulu 'u tü ekirajiapüleekaa sünainjee watta'ajeepa,Avísale a tu papá que lo estoy esperando aquí en la escuela desde la mañana
Yala,Allá (cerca)
"Nnojotsü aainjünüin eküütkaa tüü sulu'u toumain, pikiraaja tayakai sünain.","En mi tierra no hacen esta comida, enséñame a hacerla."
Karalo Ꞌuta,Karalo Ꞌuta
Tachiirua,Detrás de mí (en movimiento)
¿Jamüsüsa'a?,¿Por qué?
Yalamüin,Hacia ahí
"Aya'lajeeshi taya wanee kaa'ulairua, je'ra eera",Quiero comprar unas cabras quién sabe cuántas
"Antiraajeena waya wachukuwa 'a joolu'u  kaleꞋu yaꞋaya, sülü 'üjai wuin","Hoy al medio d ía nos encontramos aquí otra vez, traigan agua"
"Watta'a maalü, jamayaa jia.","Cómo están, buenos días."
"Müleka shiimüin reje sünain ji’raajüin ma’i taya, ji’raajüin je chi Tashikai wanaa tamaa.","Si en verdad ustedes me conocieran, también a mi Padre conocieran."
"Ma’aka kanüi re pia, paapirüin je taya.","Si tú hablaras, me hubieras avisado."
¿Jalasü pia?,¿Dónde estás?
Ojutuushi taya chaa'aya jala yaa eera.,Yo fui a caer por allá quién sabe por dónde.
¿Atüjashi pia ouuttaa jüka korompa? ¿Atüjashi pia aso noo?,¿Tú sabes hilar con el huso kor ompa? ¿Tú sabes tejer?
Eetaashi laülaakai joyototaain nüpüla ju lu’u wanee  süi.,Él encontró al viejo sentado en un chinchorro.
Pünaajaa tamüin,Guárdamelo
"Po’loole kaa’ulakalüirua, paapeerü tamüin.","Si las cabras fuesen diez, me las darás."
¿Jaleechi  a’yataain püshikai yaa?,¿Dónde trabajará tu padre?
"Nnojotsü shia shi'irain mo'uwa, nnojotsü shia shi'irain wanee kasa ya'asa .","Eso no era canto de paloma, ni tampoco era canto de ningún animal."
"Antüshi chi palajachikai, anta mushia wane’eya, anta müshija’a wanee mapa, antapaa mushi’iya na achiiruaajanakana, jee müshija’a chi naja’ttiamüinjachikai.","Llegó el primero, llegó también otro, llegó otro después, llegaron los siguientes, y el último."
Müshi püshikai tamü in,Me dijo tu papá
¿Eesü süpüla tashaitajaain jamaa?,¿Puedo jugar con ustedes?
Asüüinjatüyaa wüinkalü nutuma püliikukai.,El agua iba a ser bebida por el burro.
"Paapireechi taya jalapüshi eera, ma’aka jülatül e wanee kasa.","Tú me avisarás en cualquier momento, si pasa algo."
"b. Pusüsinajüinjatü, süchikejee pi'itaa müinjatia süpüla kaꞋikaa, akatsa'a jülüjüinjatüin paa'in suulia wotuin mma otta jokomain shia.","Debes de abrirla , después la coloca s al sol, cuida que no se llene de arena y gusano."
TepeꞋe,Mi izquierda
Paapaa susukoo tüü sümaa ja ’rai shikii nneerü.,Toma esta mochila esta con cincuenta monedas.
¿Jalainjachi  a’yataain taya  yaa?,¿Dónde voy a trabajar yo?
"Nükache jüin wanee kuluuluirua pasanainpünaa jünain apainkalü, nüka’i jain sikamüsala malu’ upünaa aka tüsa.","Colgaba unas telas en medio del conuco, provocaba humaredas por allí."
"Mayaa sü ja'yuuin, asukajaanüshi Piipa natuma na ekirajüliikana.","Apenas amaneció, Pipo fue echado de menos por los maestros."
Jüchon wayuu  taya ; nnojotsü jüchonin  alijuna taya.,Yo soy hija de wayuu ; yo no soy hija de alijuna.
outaa,morir
jakütaa,estar maduro
Oꞌoojüitpa,Acabar de  bañarse
Aashajaa ta müshi pia nümaa chira.,Tú te la pasas hablando a cada rato con ése.
"O'unushiija’a naya, ke’ ejenashii wanee  muulairua kakuwajüsü ma’ in.","Ellos se marcharon, cabalgaban unas  mulas muy veloces."
Ayonnajata müsü pia nümaa alijunakai chira.,Tú te la pasas bailando a cada rato con ese alijuna.
ChaꞋaya,Allá (no tan cerca)
Nnojoishi Luuka jalain yaa.,Lucas no está en ninguna parte.
Na wayuukanairua –nümüleje'e walitkai – kakopeetainshii jee alojushii.,Los hombres – dijo el zorro – tienen escopetas y cazan.
Kepiashii waya jaa'u wanee wütai; nnojotsü sotuin t aa'in eejetürein.,Nosotros vivíamos en un cerro; no recuerdo dónde quedaba.
"Napushua naa wayuukana eeshi süpula nantüin eemüin naa sülaulayuukana kasalajanaa atuma kasa süpula sa'innüinjatüin tüü süpulajanaka ajapülu'ujia kasa. Ma'aka nojotüle sa'innüin tüü kasa, alu'uwatanüinjatü achirua namüin naa sülaulayuukana alu'uwatawaa süpula na'inrüin tüü a'ulanaka sü'ulia a'inaa.","Toda persona podrá acudir ante la autoridad judicial para hacer efectivo el cumplimiento de una ley o un acto administrativo. En caso de prosperar la acción, la sentencia ordenará a la autoridad renuente el cumplimiento del deber omitido."
Akumajüsü [ashajiaakuwa’ipa ee’iyatuushi ] sünain [ashajalaa aneekuushi ].,Ella aplica la fuente indicada al texto seleccionado.
"Tüü Kolonpia münaka shia wanee mma e' ere kajütüin tüü akua'ipaka akumajushi sülu'u sükua'ipa wanee mma wanesia, süma nnojolüin aluwatanüin anain cha pasanainje sünain laulasü sümuiwa'a sa'atawai mmakat wanawashi napüshua kajutüjirashi jee müsuya palirashii, a'inrushi sa'u najütü naa wayuu, sünain nayatain jee müsuya süchiirua pa'iwain napushua naa wayuu su'ukana shianjatupa jülu 'ujüin a'in shianjatüin palajanain tüü kasa süpülajatüka wayuu waima.","Colombia es un Estado social de derecho, organizado en forma de República unitaria, descentralizada, con autonomía de sus entidades territoriales, democrática, participativa y pluralista, fundada en el respeto de la dignidad humana, en el trabajo y la solidaridad de las personas que la integran y en la prevalencia del interés general."
"Pulata Maryoris, püküjaiwa süchiki tü aküjaa shimainkat saa'u wanterakaa.","Maryuris ven al frente, recita el juramento a la bandera."
Waneepulu ma’in sukuwa’ipa tepijaaya: alojushi taya kaliina jee nalojuin taya na wayuukanairua – nümaka walitkai nümüin pürinsipechonkai.,Mi vida es muy monótona: yo cazo gallinas y los hombres me cazan a mí – le dijo el zorro al principito.
Eetaashi wanee wayuu mojulaashi ma’ in; asünaa pu’ushi sü chisa wa yuu eekai sülatüin nü’ütpünaa.,Había una vez un hombre malvado; solía quitar el equipaje a las personas que pasaran junto a él.
na Ø kepiakana yaapünaa yaa,los Ø [que viven por aquí]
Süka süchiralujuna aainjünüsü ako'ojuushi.,Con la leche se hace cuajada.
Pantira tamüi n wanee kaa'ula e je’tsüin jia.,Hazme llegar una cabra de cierto tamaño.
Alatüshii waya eepünaa  wanee uuchichon .,Nosotros pasamos por donde está un cerrito.
Nüchotooinja tü   jima’aikai    tü süche’ekalü paa’a .,El joven va a cortar la oreja de la vaca.
achajaawaatüshi,busca a tiempo
"Wattamüinpa wayuukai, ni’ rataal ain wanee  piichiirua ma’ aka tia.","Cuando el hombre ya se encontraba lejos, vio unas  casas hacia allá."
Tapüla,Para mí
Yaamüin,Hacia acá
¿Jamüinjatü püchepajaaka?,¿Para qué te vas a maquillar?
YalaꞋaya,Allí
"Anachonsü kas ipolüin , akaratshi sü sünoꞋu","Está lindo el arco iris , tiene siete  colores"
"Sirümasü ka Ꞌikat, a'iteerü juyakaa","El día está oscuro, viene la lluvia"
Yulinet sulu Ꞌukaa sükaralo Ꞌutase,"Yulinet, está estudiando de su cuaderno."
¿Jalakuwaishii tepichikana süchiki no'utuin saa'in chaamaakaa?,¿Hacia dónde se dirigieron los niños después de matar a la  bruja?
Pantira tamüin  wanee kaa'ula e je'tshiin nia.,Hazme llegar un chivo de los de algún tamaño.
Ayonn ajüna aa'ulu tü meesakalü tatuma.,Se bailó sobre la mesa por mí.
"Wainma ma'in asalaa, ¿jamüinjatü pümüin?","Bastante carne, ¿qué vas hacer?"
sichuwala bollito asichuwalajaa,preparar bollitos
"Nnojoo püsürülüin tü karalo 'utapanakaa, nnojoyülia taya ajattüin sünain ashajaa.","No cierres esa página todavía,  no he terminado de escribir."
Makateeshiyaaje'e taya sulu'u tü to'ulakalü,Yo quería mucho quedarme en el chinchorro
apütirawaa,dejar conjuntamente
Eesü so'uka'i külaase sünain,"Hoy tenemos clase de  español,"
mala a,ser tonto
O'uneechi pia jüse'eru'upünaa aikalü chaa'aya eemüin  uuchikalü tia .,Tú te irás en medio de la noche hacia donde está ese cerro.
Nünaaja nümüsüja'a jia jüchikuwa'aya.,Él la guardó rápidamente de nuevo.
"O'unushiija’a naya, ke’ejenashii wanee muulairua kakuwajüsü ma’in.","Ellos se marcharon, cabalgaban unas mulas muy veloces."
"Aisü jii'iree eküülü yayaa, nnojotsü eein wanee mojukuu makaleje'e wama'ana.","Aquí se sufre por la comida , no tenemos ni siquiera un poco."
Eetaashii wayuukana napüla ouwouluu maa'alüin mmoolu'u.,Ellos encontraron a los hombres muertos en el suelo.
¿Miyo 'u? ¿Grandes ?,¿Para quién? ¿Grandes?
"Chi nuwala mulo'ushikai, müsü naa'in yaa: Malashi ma'i n chi tawalakai.",El hermano mayor pensaba: Mi hermano es muy bobo.
"Joo Ꞌuya, a'atapajünüshii waya cha'aya Meraatuushi.","Vamos, nos están esperando en Meraatuushi."
Matüjainsai jamaa Ma’leiwakai.,Dios no es afectado por ningún evento.
"Tü kamionkolu, nnojotsü yolujaain"" — müshi tamüin tawalakai.",“El camión no es un fantasma” — me dijo mi hermano.
Eeshi wanee püliikuchon wama'ana piichipa'a.,Nosotros tenemos un burrito en la casa.
Aainjünüsü uujolu süka maiki.,La chicha se hace con maíz.
Ko’utushi pürinsipechonkai. Irattüs hi. Aikalaashi aka kamüshe’ ein nia.,El principito se quedó callado. Estaba llorando. Se sentó porque tenía miedo.
"Nnojo puwataain, taaneewaa, nnojoishi yolujaain taya"" — müshi nümüin.","“No corras, cuñado, yo no soy un fantasma — le dijo."
"Akuwolu'u jünülia toumain, jiaja'a eere  tapüya , eere  tasüle.","Mi tierra se llama Akuw olu'u, que es donde está mi casa, donde está mi abrevadero."
