esp,nas
"Anteriormente cuando los castellanoes llegaron del otro lado del mar al territorio indígena, nos trataron de modo jamás visto, violaron a las mujeres, robaron-el oro que se guardaba para el momento de las gracias a nuestros dioses (ritos), arrasaron pueblos enteros y con el tiempo delimitaron los territorios para ellos gobernar y someternos conformando las naciones, dándoles nombres distintos. El territorio donde actualmente nos encontramos lo llamaron Colombia.","Ác'ha' waaswe's' Ec Ne'hwe's' ma'weteka kasehna pa'h k'a's le'c'kwe yaakika: Nyaafteya' íkh kutehu pesahsa waas nasa ks'av' kiwete pa'hc'a', kwe's't'i sena uy uymethé' pk'una, pemaa nasa c'habt'i' pebana, kwe's' d'uust'i wec'awa' h'aawn'i v'u beha's pesweena, u'yt'i nuuwena, nasa c'habt'i akac'hna; k'a'we yuuna úsi k'ac'te' kiwe wala's suk'tad'ya' uwet', k'awe's' ikahya' c'hab wala kiwe v'itna fiiy fiiy yasena u'hna. Ayte c'hab walasa' Kulubyat' yase. K'a íkh kutehuwe's' zuun pehnac'a', isa íkh kutehu pesahsa waast'i' puyic'a kuki't'; newuuc'a ác'ha' naa kiwekaya' up'hsa npicthé' yuuc'a naa Kulubya's ikahna ústa', k'a'we puyina úste, nasasa ha'da pu'c'hna ee h'awn'ikyu'. Napa naa c'hab walatewe's'pwe's'a' k'apwe's puyime úsya' híc'at' Ec Ne'hwe's' f'i'c' ikahya' Uwe."
"Los descendientes de los españoles ya nacidos en esta tierra pelearon contra los mismos españoles venideros y los sacaron, ahora son ellos los que hasta hoy gobiernan. En esa lucha dada al igual participaron los indígenas; luego, para ordenar la vida, escribieron el libro que llamamos Constitución, buscando evitar la violencia y a partir de ese libro comenzaron a gobernar.","F'i'zewa'ha's k'a'wé Ec Ne'hwe's' vitc'a ústepa ki' yuwe walaic'a sena kasehte' k'ac'h K'ac'na peh'iisat' phu'se'he', acpa pehkayuh ac'a nasahu'ghud'ihyu' áatemek pa'hna u'we'. Ác'ha' waas we'th v'ictemek nasawe's'yu' pecuna ya'u'hwe', isateyu' ktupi'n'itek nasasayu' yúste wetena ya'u'hwe'; k'apa'ka p'thasayu' waas nwe's' ha'da uunaic'a ústha'w. Ki' nasasa h'ukaysa ipe'hwa' nv'itn'i kiwepa's kuse'hna, makwe kiwe yuwete ecpa peeh'me hi'pteyu, yu'ce hi'pmet' kuse'na úsu', k'a'we yuuna kiwe's nuyic'hna h'a'ha't'."
"Esa ordenación de la vida la renuevan cada vez que les parece necesario, sin embargo, para con los indígenas no siempre ha resultado a favorable. El acabose de los pueblos indígenas siguió. Entonces ya no se acaba a los pueblos indígenas en la punta de la bayoneta sino en la miseria en que hemos ido cayendo. Igualmente hay personas no indígenas pobres que también están muriéndose de necesidad. En el caso de la tierra destinada para el manejo mancomunado de los indígenas, ella ha sido usurpada y arruinada sin remedio por encima de todo documento legal.","K'aha' yactey Ec Ne'hwe's'a' nasayakhyu' pehka áamet' kasehna úsu'. Naa pa'katha'w maa nasa c'haba' mpakac'tepa k'hwetme puyina úsi waaswe's' ikahn'i kwekwe v'itn'i ks'av'supa h'uka u'kac'a, waas ne'hwe's' walayakhpa puuk' we'wena káhc'a pehka nasasahu'ghu 1.991te' Ec Ne'hwe's'a's phu'se'he eente' isayuh nasasa yaak'n'i weh'a's ih akhya' ewuu; ác'h Ec Ne'hwe's'a' nasasa fiiy fiiy ústa: naat'i's h'ukay pu'kisna úswa'hsa'."
"Los que discutieron y escribieron esta nueva Constitución se llaman constituyentes (en castellano). En este proceso logramos meter tres indígenas por lo menos: a Alfonso Peña, Lorenzo Muelas y Francisco Rojas Birry. De ese modo hemos hecho un poco de introducción allí de nuestros derechos y nuestro pensamiento en la actual Constitución. Y ese es el resultado de una larga y muy larga lucha por la tierra y por nuestra unidad. Con esto hemos conseguido para vivir un día más y para que se nos respete; eso es lo que está diciendo en los artículos que siguen.","Ác'hwe's' Ec Ne'hwe's'a's waas yuwete phu'se'sa' wala puuk' we'wena f'i't'; waas yuwete' Constituyente hín'it'yu'. K'a phu'se'wa'te' nasasa ha'da úkahyuu tekhpwe's'c'apa ka'ka'tha'w: Alfonso Pen'a, Lorenzo Mwelas, Sisku Rujas Birry we's't'i. K'a'we yuuc'atha'w naa Ec Ne'hwe's'te kwe's' úus yaak'n'i's, kwe's' hu'ghutewe's'a's kakhe'na pa'h, napa ác'hme sena k'ac'h kiwe's puuyina úsc'a. Ác'ha', naayakha' teec' eenkwe f'i'zewa'yu' uyc'a ústha'w, k'a K'a'we f'i'n'i pe'lasu we'wena úsa'. Naa Ec Ne'hwe's'yu' kwe's't'i yu'thegwa'te yuuya'yu' yuuk napa ecyu ecc'asayu' peek'yu' kwe's't'i nwe'wemena, isateyu' úskiwe'n'ite yahk'c'a pu'kithwa' úsa'. Nasasapwe's' wala íchewa' peeh'sa'; teec' úusc'a ki'pc'a, c'hác'ha yuhuwa' wala peeh'sa', Ec Ne'hwe's'te we'wen'i's k'tey kyu'hu'wéc'ayu' kwe's' pehin'it'. Kwe's' itháasn'it' yahk'me dehna khen'ina'we úsunkha'w acyu' selpiimena, k'himec'apa v'ite yuwetewe's'thu hínac'a pús'i's'ithé' yahk'c'a úsunkha'w ac'yu' bakac'yuhpa ha'dac'a c'hác'ha úswa'yu' v'amena, í'apathé'yuc'a úswa'yuuc'a kasehena. Nasasac'a' nasasahi'pwe's'na'wed'ih, pyakhna'we, hu'gthé'we's' úskiwe'n'ite ha'dac'ac'a, kac'hác'ha'wa'te íchateme úswa'ha's yahk'teyuc'a naa Ec Ne'hwe'ste we'wen'i's k'tey kyu'hu'te wétkwee ya'f'i'zena."
"Los traductores de esta Constitución en Nasa Yuwe son los maestros indígenas del Resguardo de Mosoco: Mariela Yonda, Wilfredo Mulcué, Rosalvina Guegia, Luz Marina Cuene, María Anunciación Copaque, Isabel Tenorio, Omar Antonio Rocha, Aquileo Isco, Rosa Elvia Mulcué, Aminta Bolaños, Rubelia Guegia, Flor Alba Campo, Rodrigo Perdomo, Rosa Elvia Oteca, Marcelino Nez, Efraín Hurtado, Juaquín Julián, Esnelly Mulcué, Cecilia Mary Mulcué, Liborio Guegia, y Magda Lid Mulcué. Colaboradores los mayores Genaro Ovidio Bolaños y el mayor Ancelmo Baicué, a los que les debemos muchos agradecimientos; ellos, en este trabajo hicieron grandes esfuerzos para el servicio del pueblo nasa, rescatando palabras de las tradiciones como úiskiwe'n'i ""cultura"", pu'ze'n'i ""garantía o respaldo"", esfuerzos para evitar los préstamos del castellano; se propuso a'kaf ""nombre del árbol o del palo mayo"", para año (este árbol florece cada doce meses, la madera es muy fina, el color de la flor muy fuerte y hay variedades desde el clima cálido hasta los páramos).","Sa' Ikahsa Ec Ne'hwe's'a's Nasa yuwete kuki'sa' Musukwete Nasa ks'av' Kiwetewe's'ta' luuc' kapiya'sawe's: Mariela Yunda, Wilfredo Mul', Rosalbina Weh'a, Luz Marina Kwehne, María Anunciación Kpaaki, Isabel Tenuriu , Omar Antonio Rucha, Aquileo Isku, Rosa Elvia Mul', Aminta Bulan'us, Rubelia Weh'a, Flor Alba Kampu, Rodrigo Perdumu, Rosa Elvia Tehka, Marcelino Nes, Efraín Hurtado, Joaquín KHl'an, Esnely Mul', Cecilia Mary Mul', Liborio Weh'a; K'a'wéy wala pu'c'ht'i thé' Genaro Ovidio Bulan'us, v'ite' thé' Ancelmo Bah'kwewe's'; k'awe's't'i sena wala ya'wec'a'k. Ki' Musukwete nasat'ipa h'ukaysat'i wala ya'wec'a'k. Sa' sena wala d'ik'the yahk'c'a nasasawe's' h'ukaysahi sena wala mhit', yacka thé yuwet'i f'ít'hna, na'we: úskiwe'n'i ""cultura"", pu'ze'n'i ""garantía""; waas yuwe's pkime we'wewa'ha's yahk'c'a año hín'i's a'kaf't'i we'wewa'ha's v'it."
"Coordinaron este trabajo los gobernadores: Ernesto Mulcué en 1992, Oseas Lectamo en 1993. Y apoyaron los Resguardos de Huila, Vitoncó, Avirama, Belalcázar, Cuetando, Chinas, Mosoco, San José, Lame, Togoima, Tóez, Tálaga y Araujo. Además dirigente del resguardo indígena de Pitayó; ; como también personalidades de los resguardos del Norte del Cauca presentes en la novena reunión grande de los cabildos en Corinto (9? congreso), lo cual es muy placentero.","Musukwete khabuwe's' naa mhi's nuyi'sa', tuthensa: Ernesto Mul'kuyu' 1992te', Oseas Lektamkuyu' 1993tewe's'a'. Ki' khabute ne'hwe's'we's' na's yu'thegsa', nasasa ks'av' kiwetewe's' naac'aht'yu': Kwed'i', C'Hab wala, Piilamu, Nega, Kwetahd, Suphi, Uswa'l, Musukwe, C'hab U'se, Lame, Tkuyma, Meesa ukwe, Talaka, Arauhu, k'ahu ne'hwe's'a' h'ukat' yu'theg. Sa' Pitayu'sapa úsu'k."
"Aunque para la escritura existen tres formas: la del I.L.V., la de los sacerdotes (del seminario) de Irlanda, y la propuesta de Marcos Yule, Rocío Nieves y Abelardo Ramos, se escribió en esta última por ser más sistemática y una vez aprendida permite escribir más economicamente, es decir, corto, ejemplo, (1) kid ""peineta"", (2) c'hab ""pueblo"" , (3) tit! ""barro""; compárese con I.L.V., (1) quind ""peineta"" (2) chjamb ""pueblo"" (3) tyity ""barro"". ","Ec f'i'na piisan'ite' I.L.V.-tewe's'hi úste, Irlandate paalwe'shi ústepa; Maalkus Yule, Rocío Nieves, Abelardo Laamuswe's' f'i'ya' nuyi'n'i'tek ya'f'i' naa' ithakwe teehwedc'a, na's piyaya'teyu' tuwkwe' naapa'ka ; Maalkus, Rocío, Abelardohi's kaha'da'na theguka ay tas'te u'psat'i's pet' f'i'n'i pe'la 63, 72yakh , tekhit':(1) kid ""peineta"" (2) c'hab ""pueblo"" (3) t'it' ""barro"" LL.V: (1) quind ""peineta"" (2) chjamb ""pueblo"" (3) tyity ""barro""."
"Además asesoraron en este trabajo: Abelardo Ramos, etnolingiiista; Raúl Arango, abogado del Departamento Nacional de Planeación; de Bogotá y el coordinador general del proyecto, Jon Landaburu.","Nasa Yuwete mhi pu'c'hsawe's'a': Abelardo Laamus , Nasa Yuwe's piisan'ite hiisa; Raúl Arango', Ec Ne'hwe's'su hiisa ; Buuktaate nuyi'hsa ne'hwe's'a'' kapiya'sa Jon Landaburukyu'."
Musukwete Khabuwe's'.,Musukwete Khabuwe's'.
Cabildo de Mosoco.,Cabildo de Mosoco.
PALABRAS DEL COORDINADOR DE LA TRADUCCIÓN A SIETE LENGUAS INDIGENAS,SIETE YUWE F'IIY F'IYSAT'I NUYKMAHI'SA WE'WEN'I
"Cuando, a fines de 1991, los Consejeros del Presidente de la República llamaron al Centro Colombiano de Estudios de Lenguas Aborígenes de la Universidad de los Andes para preguntar si podíamos traducir la nueva Constitución a varias lenguas indígenas del país, contestamos que sí, con un poco de miedo y con mucho entusiasmo a la vez. Los estudios que desarrollábamos aquí, desde hacía más de diez años, nos habían mostrado a todos, estudiantes, profesores e investigadores, la profundidad, sutileza y belleza de la gramática y del léxico de las lenguas indígenas. La práctica de sus textos mitológicos, de sus cantos, de su arte de contar nos habían convencido del gran valor estético, literario y de sabiduría de sus tradiciones. Sin embargo, traducir la Constitución, o sea, buscar los equivalentes de expresiones y términos jurídicos muy propios de la tradición occidental a lenguas indígenas tan alejadas de esta misma tradición, suponía un desafío totalmente nuevo y un riesgo alto.","1.991te' Chab Wala kiwete npicthé'a's yu'k'pehsawe's' CCELA's pa'yac'a naa EC Ne'hwe's'a's maa nasawe's' yuwesu kuki'ya' tuduuma'kwe híte' le'c'kkwe úukhnapa ya'ewuna hína pastha'w Universidad de los Andesyu. Ayte' nasawe's' yuwet'i 10 a'kaf' thaakweya' k'ac'h mhina yuun'i' pehka piyasat'i, kapiya'sat'i, hiiwalasa ya'papehy'i yaf'te nasawe's' we'wen'i yuwet'i nmeh sena z'ic'kkwesa úste áatek nv'iht.Yacka thé' weh'a, ma'we memn'isa, kusehu ma'we z'ic'kwe v'itna mhin'i' we's'me sena kihytepa h'uka áhsac', kihytepa h'uka hiic' f'i'zen'isa ústa' .Isateyu' k'a'wesatepa Ec Ne'hwe's'a's nasawe's' yuwesu kuki'wéteyu' yuume sena théysa kasehk, waaspwe's' ikahna we'wen'i yuwe f'ii ústa' naapa'kate sa' nasapwe's' f'i'zen'iyakha' sena pt'uteesata' naapa'ka."
"El trabajo no podía ser un simple ejercicio individual de una persona que, manejando dos lenguas, se sienta en su escritorio y acomete, sola, la traducción. Por la dificultad del texto castellano por traducir, por la necesidad de buscar en las lenguas indígenas palabras y giros con usos o sentidos muy poco familiares a los hablantes, era imprescindible dar un carácter colectivo a la traducción y recurrir a grandes conocedores de la tradición por un lado, a ""personas-puentes"" por otro lado. Las personas-puentes iban a ser, en primer lugar, indígenas linguistas, formados casi todos en nuestro centro, pero también maestros, promotores de salud, líderes políticos, en general gente con un mejor conocimiento del mundo blanco ; los conocedores de la tradición serían según los casos : mamos, payés, chamanes, taitas y ancianos o sea líderes espirituales de las comunidades.","Naa mhiyu'sa' e'z yuwe we'weya' hiiweete teec'sac'a kac'hc'a kuki'ya' ewuwa'samekyu' Waas yuwete we'wena f'i'n'i k'a'we théysa f'ii úste, maapa nasa yuwe's we'weya' hiisa d'i'pte maa ústepa u'kana kúh naa we'wen'i' pa'hwa'ha's yahk'teyu' teec'sac'ame mhic'a nasawe's' yuwesu kuki'wa'k theg, sa' thé'sa, kwe's' úskiwe'n'i's we's'me hiisat'i ipi'k'na ki' K'te nasapwe's'i e'zahhuy kaykhewu'ya' áhsat'i pakwewa'k yuu; maaisa' aytey kapiya'n'isat'itha'w yaf' kah, v'ite' kapiya'sat', v'ite' kát'h f'i'zewa'te mhisat', v'ite' nasa walayakh mhisat'; waas f'i'zen'i'spa weh'kwe' hiisat'iku ya'ipi'k'."
"Durante más de un año, los linguistas indígenas organizaron equipos de traducción y reuniones con las comunidades para estudiar los textos, crear o rescatar términos, someterlos a discusión. En más de una ocasión tuvieron que volver a empezar porque la gente no entendía. Cada dos meses se reunían con nosotros en Bogotá donde examinábamos las dificultades entre todos y tratábamos de ayudar.","Teec' a'kaf' ithaakwet' nasawe's' yuwet'i hiisawe's'a' nasa walayakh pkhakhec'a Ec Ne'hwe's'a's yaf'te hiyuna 'úsu', we'wewa' yuwe u'se kuki'pc'ahte' v'itna, ks'av'su' yacka thé'we'wen'i yuwe íis't'iy f'ít'hna; sa' ki'kin nasa wala pkhakhewa' v'itc'a puuk'we'wenat' úsu'. Nuykmahi'sawe's'a' mazuspa ki' nasawe's' tas'na u'hna úsu't' nasa kuhsayu ew áate hiyume ha'dayu'. KHíc'a e'z a'teisatha'w Buuktate yu'pkhakhena úsu' kihy théysa v'aactepa ih puuk' pu'c'hya'."
"No solamente tuvimos, con la ayuda de los abogados, que aclarar, explicar y comentar el texto de la Constitución sino que, para acercar este pensamiento a culturas que no han conocido sino hasta hace muy poco la escritura alfabética o una organización social en ciudades, tuvimos que averiguar el nacimiento en el mundo occidental de muchas de estas palabras e ideas jurídicas : averiguar con filólogos, estudiar con filósofos, comparar con antropólogos, qué significado originario tienen palabras como ""derecho, ley, Estado, autoridad, ciudadanía, democracia, etc.”, entre las tribus indo-europeas de la Antigijedad, entre griegos y latinos y también entre pueblos de otras tradiciones que se inventaron esta clase de nociones y palabras cuando el uso de la escritura y el acercamiento al mundo de las ciudades los impulsó a formalizar y desarrollar sus instituciones políticas, religiosas, económicas y penales. Este trabajo y una constante discusión sobre las, muy diversas, tradiciones indígenas de Colombia nos permitieron ayudar a acuñar expresiones que no fueran simples equivalentes sino que se construyeran sobre raices fundamentales de la lengua. Los símbolos de la casa, del cuerpo, de las direcciones del cósmos, de la firmeza, de la palabra sagrada como compromiso, y tantos otros, fueron así utilizados para este nuevo uso, así como lo fueran, en el nacimiento de la forma escrita del derecho donde quiera que apareciera.","Sa' naas Ec Ne'hwe's'te k'a weh'asu hiisayakh ipi'k'c'a kpahk'na u'hc'ametha'w isayu' úskiwe'n'it'i puuk' pd'i'p kaha'da'wa'k kaseh, k'awemeyu' teec'sa' k'anc'a naa f'i'hn'i's hiyucte', v'ite, c'hab v'itc'a fi'zesa' mantey ma'we yahk'c'a k'awe neesya' pú't'htepa k'an eentey we'wen'it'i h'uka ya'papeywa'k kaseh ma'we yahk'c'a ikahn'i's, f'iiy f'iiy hiiyuun'isa ústepa k'aisa ya'papehyna k'aniteya' k'ahya'sne'ta waas yuwete' yuwete' derecho, ley, Estado, autoridad, ciudadanía, democracia, hín'i's; sa' griegopwe's', latinopwe's', ki' k'awe's' c'ame v'ite nasa walapa k'a'wey úskiwe'n'i v'itna úsc'a' ma'wene'ta we'wewa'a's úsyahk'na u'hwecyu'; f'i'hn'ima'kyuu, yat c'hab yuuna u'hweste K'apkac'ha' h'ukaisa ithásn'isuwe's' kwekwe f'ii peeh'sa kasehecte; úusa's ya'newe'wen'i;h'ukaisahi's f'iin f'iin atwa'tewe's'; áhme yuusahi kwekwe v'itwa' k'a'weka kaseh. yu'k'pehwa'. Naa mhipu'nte mazkwesayakhpa ipuk'we'we úsc'a maa úskiwe'n'it'ipa thegna ks'aav'su yuwe íis'ti f'ít'hna, yuwe u'se v'itc'a akhc'apa yuweisa ma'we yuute k'aisa kpahk'c'atha'w kawece'. Naa weh'ate kaha'dana we'wen'i' yat, kwekwe, v'ite d'i'ha' úustewe's'ta' sa' ma'híc'apa K'tec'a c'hác'ha ipu'kithn'i' k'ahy k'ahypa u'kat' na'we we'wen'i u'sete', ya'nwe'wena f'izewa' weh'ate f'i'na u'hwecte ma'weka kaseh k'a'wéy."
"Para que personas no hablantes de estas lenguas puedan medir el esfuerzo realizado y puedan apreciar el pensamiento indígena, pedimos a los linguistas que presentarán también una traducción directa al castellano de la traducción en lengua indígena de los principales artículos de la Constitución. Aparece en la tercera parte de este libro. Esta parte sirve también a los maestros y estudiosos indígenas de las comunidades que quieran ver cómo se hizo la traducción, con ánimo de mejorarla y de entrar más profundamente en el funcionamiento de su lengua.","Maa nasapa naa yuwet'i we'weya' hiimesapa ma'we c'hác'ha yahk'c'a pa'pc'un'i's hiyukan, ak'ahc'a nasawe's' ma'we yaak'n'i'spa h'uka,ki' nasa yuwehuya' waas yuwetey tup'hna kpa'han'ipa úsa'Ec Ne'hwe's'te f'i'n'i pe'lat'i suk'akhe'k t'hit'hc'a. Naa' ecte pt'ute tekhte ki'pn'i u'pa'.K'ayu' maa kapiya'sawe's't'ipa selpisa',mhi na'wesat'i' ma'weta ya'kuki'hi' na'spa hiyukan sa' nasasa piyasahi' ma'we phewu'pc'ahte' maa nasapa pa'pc'ukan nasawe's' yuwet'i f'i'ya' k'a'we yuuna weh'kwe' d'iite u'kan u'hya'."
"No se tradujo toda la Constitución. Solamente los artículos relativos a los derechos fundamentales de la persona y los que tienen que ver con los derechos de los pueblos indígenas. Así todo, son más de cuarenta artículos. Creemos que se allanó el camino para traducir los otros cuando surja la necesidad.","Ec Ne'hwe's'a's h'ukayu nasawe's' yuwesu ya'kuki'me'. Úkahyu nasaya'nwe'wewa'tewe's' weh' peeh'sac'at'ik ya'kuki', ki' maa nasa walapa peh'iwa'sac'at'i. K'awe k'tec'aha' 40 f'i'n'i pe'la ústa'. Naayakha' d'i'ha'ya' áhane'tkha'w sa' mpakac'te' nasawe's'a' pehi ha'da peena mhit'na."
"Solo se hizo la traducción en siete lenguas : el Wayúnaiki de la Guajira, el Nasa Yuwe o Páez del Cauca, el Guambiano del Cauca, el Ika o Arhuaco de la Sierra Nevada de Santa Marta, el Camentsa y el Inga de Sibundoy, el Cubeo del Vaupés. Estas lenguas están entre las más habladas de las sesenta y cinco lenguas diferentes que existen en Colombia. Sin embargo quedaron todas las otras por fuera de este esfuerzo, algunas con muchos hablantes también. Las limitaciones en cuanto al dinero y en cuanto a linguistas indígenas disponibles nos impidieron cubrir otras lenguas por esta vez. Esperamos que pronto se pueda dar una experiencia semejante en otras comunidades que lo deseen.","Nasawe's' yuwete 7c'atha'w kuki' Ec Ne'hwe's'a's:Wayúnayki' Wahiratewe's'; Nasa Yuwe, Muuwe's' Yuweyakha' Kawkatewe's'ta'; Ika meec'a' arwaku' Sierra Nevada de Santa Martatewe's'ta'; Sibundoyte Iga, kkamentsayakha' Putumayutewe's'ta'; Kubewa' Bawpesteew's'a'.Napa h'ukateyu' 65sa' naa thaakwe nasa thuth hi'psata' k'awe's' yuwe's we'wesa isa naa Kulubyateyu'.K'aha' nasa ew kuhit' nenyu pet' k'ah áh hiisapa peh'inwe's' yuwe's we'wesa kuhi hi'psa h'uka. ác'teyu' v'upa peh'icte, nasawe's yuweisa yaf'te áh áh hiisapa ph'inkuyuu.Nasa wala mtewe's'pa pehic'ayu' tudkweyu' na'wéy yu'skhew itháasu'tha'w."
"Para nosotros este trabajo fue una experiencia muy satisfactoria. Muy satisfactorio también sentir la vitalidad de estos pueblos antiguos, emprendiendo nuevos caminos de entendimiento del mundo de hoy, que sean a la vez nuevos caminos de profundización de su memoria. A todos muchas gracias.","Naa mhiyu' kwe's'ti walayuh wec'ayuhsayu'k.Nasasawe's'a' we's'me sena k'ac'hwe's'sa ác'pa v'itu v'itume c'hác'ha ústeyu' kwe's't'ipa sena wec'ayuhsa', naa kiwete ác'a eenkayu' maasapa d'i' u'se pakwena ústa' puuk' ha'dac'ah;sa' naa d'i' u'se's yahk'c'a d'ik'thete weh'kwe d'iite u'kawa'ha'stha'w itháasu'.Sa' h'ukaysatti wala wec'a'th."
Jon LANDABURU (CNRS),Jon LANDABURU (CNRS)
Director del Centro Colombiano de Estudios de Lenguas Aborígenes (CCELA),Centro Colombiano de Estudios de Lenguas Aborígenes (CCELAte nuyi'sa)
"Santafé de Bogotá, Febrero de 1994","Santafé de Bogotá, Febrero de 1994"
CARTA DEL SEÑOR PRESIDENTE DE LA REPÚBLICA DE COLOMBIA,KULUBYATE NPICTHÉ' WE'WEN'I
"Santafé de Bogotá, Septiembre de 1993","Santafé de Bogotá, Septiembre a'te, 1993te"
Apreciados amigos:,D'i'p ya'uyn'i h'ukaysat' wec'a'th:
