esp,nas
cuatro,pajnz
mucho,wala
atado,tund
sentir dolor,yaaca-
gobernador,Payaate ne'jue'sh
impedir,yup-
rendija,shish
lograr Intervenir,cpaanwe'we-
triste,"ñus, yús"
"potro, potranco",jimba luuch
soso,shúu
tejedor,umsá
nudillo,fitscu'ng
ahora,ách
A los gobiernos y a muchas personas les ha sido difícil entender este pensamiento. Es por esto que los derechos de quienes por milenios hemos habitado estas tierras no estaban consagrados en la antigua Constitución.,"Npicthé'we's' ki"" maa nasapa na'we di'k'the yaak'n'i's kpahk'mete' théysak pa'hna úsu'.K'a pa'katha'w manteyyu naa kiwete ússa' ákhwé'y pu'ze'n'ime úsu' yacte Ec Ne'hwe's'te'."
hasta allí,cytee pa'j
cocinera,"íitse'jsa, csinela"
quiebra maíz,cupytende-
masticar,pe'tse-
atar palos verticales,tsjende-
"Para que personas no hablantes de estas lenguas puedan medir el esfuerzo realizado y puedan apreciar el pensamiento indígena, pedimos a los linguistas que presentarán también una traducción directa al castellano de la traducción en lengua indígena de los principales artículos de la Constitución. Aparece en la tercera parte de este libro. Esta parte sirve también a los maestros y estudiosos indígenas de las comunidades que quieran ver cómo se hizo la traducción, con ánimo de mejorarla y de entrar más profundamente en el funcionamiento de su lengua.","Maa nasapa naa yuwet'i we'weya' hiimesapa ma'we c'hác'ha yahk'c'a pa'pc'un'i's hiyukan, ak'ahc'a nasawe's' ma'we yaak'n'i'spa h'uka,ki' nasa yuwehuya' waas yuwetey tup'hna kpa'han'ipa úsa'Ec Ne'hwe's'te f'i'n'i pe'lat'i suk'akhe'k t'hit'hc'a. Naa' ecte pt'ute tekhte ki'pn'i u'pa'.K'ayu' maa kapiya'sawe's't'ipa selpisa',mhi na'wesat'i' ma'weta ya'kuki'hi' na'spa hiyukan sa' nasasa piyasahi' ma'we phewu'pc'ahte' maa nasapa pa'pc'ukan nasawe's' yuwet'i f'i'ya' k'a'we yuuna weh'kwe' d'iite u'kan u'hya'."
sepulcro,pendani cafy
enriquecerse,ji'pjsa yuu-
jigra de lana,cjas ya'ja
chamón,túts
herida,cpá
haber eclipse de sol,"sec uu-, sec shi'ndy-"
asar,"wendy-, peeygáj-"
muy,jande
quitar sombrero,fíicunde-
besar,wecha-
pilar,plaaí-
varón,pitstacy
abrazar,psha'nd-
apretar,"zuna'-, nuyzuna'-, tenz-, ptenz-"
Nuestro Salvador,cue'shtyi nwe'wesa
viento,wejya
Artículo 19. Se garantiza la libertad de cultos. Toda persona tiene derecho a profesar libremente su religión y a difundirla en forma individual o colectiva. Todas las confesiones religiosas e iglesias son igualmente libres ante la ley.,"F'i'n'i pe'la 19. Maa nasapa kihyte úusa's ya'newe'wen'i hi'puwéc'a hi'puwa'c'a', nasa úskiwe'n'itema'kyuu, napa naa Kulubya kiwete' ma's hiyuc'a u'hac'a' hwe pta's'ya' ewuna teec' teec'ma'kyuu meec'a' kuhsat'i. Úusa's ya'newe'wen'isa maama'kyuu napa Ec Ne'hwe's' d'i'pte' k'ana'wec'ac'ata'."
espejo,speeju
beber,tundy-
hermana,nyacj
hacerse tarde,jycuusu-
contaminación,pta'nz
"Santafé de Bogotá, Febrero de 1994","Santafé de Bogotá, Febrero de 1994"
estirar,zunzu-
lamer,tech-
echar suertes,suerte caaj-
moler finito,"iiwees-, iiweesu's-"
cruzar las piernas,chinda's pchat-
palo,fytú
chicharrón,chalun
ojo,yafy
permitir destruir,caaiviitu'j-
cámara lateral para enterrar,pumba'jni
sacar muesca,petyi'j-
rueca,cjas wat
alimento,ú-
arete,tjú'wé ya'qui
fruncir,"cue'nzhu-, cue'nzu-"
pegar,"ujca-, uca'ca-"
cinco,tajts
"primo, prima","primo, pucacje nyacj"
trastear,npeefynicy-
Programa de Educación Bilingite-CRIC,CRICte luuc' kapiya'sayakh mhisa
afilar,"zeecu'j-, shush-"
fríjol,us tandy
agitar,quéese'j-
palabra proveniente del libro mayor,Ec Ne'hwe's'hu yuhsa yuwe
"braza, brazada",cu'ta
mayordomo,yultumu
absorber,chanzha-
antorcha,ipy pqui'tani
entristecer,cyúusu'j-
tratarse como parientes,nwe'sh we'we-
bejuco,"yaj, yu'cj wes"
hacer quitar ruana,caycatsunde-
pelar los dientes,anzh-
entrar,"u'ca-, ne'ca-"
hacer vender,caatyweyu'j-
mazamorra,cjash
meter en,yu'amb-
entristecerse,yúsu-
"potra, potranca",jimba luuch
palma de la mano,cuse pjapj
cavar zanja,chamba'j-
hierbabuena,putatyjá'
callarse,shuuna' yuu-
estar suspendido,belena u'p-
Dios,Dyus
crujir los dientes,qui'tjtyi csuusu'j-
tizón,ipy tyjic
negar,paaná-
respirar,úusée-
volverse mezquino,sendy yuu-
recién nacido,"ápácué, u'se casejsa"
equivocación,jypumbani
mata de aguacate,utse tash
todos,jyucaysa
cogollo,cul
cabecear,quitje'tje-
supurar,tucjáa-
llegar,"pa'j-, iipa'j-"
hacer regalar,caapeesu'j-
venir,yuj-
cara a cara,puuty pdyi'p
mañana,"cuscay, cuscus"
limpiar,"cjúcj-, nuyaate-"
pata,chinda
caracol,shape
techar,yat um-
mover,quéese'j-
urdimbre,pcambnisa
enfrente,"dyi'pte, dyi'puwe'sh"
encomienda,neewe'weni
fríjol,us
capaz,ájsa
retoño,ye'ch
formar chupo,mutsu-
asociarse con,"ca'ndu-, nuuqui-"
enjalmar,cjalma tyaj-
maíz tierno,shimb
echar a perder,vitu-
asno,ashnu
cardo,shic
ortiga,cjáas
completar,cája'j-
encender,pqui'ta-
fogón,ipy ca't
mandar crucificar,cluuscje caafyutsu'j-
disparar,íjpa-
estregar,ja'll-
hacer atajar,cyuupu'j-
tener frío,"yeetse-, cumáa-"
"Artículo 27. El Estado garantiza las libertades de enseñanza, aprendizaje, investigación y cátedra.","F'i'n'i pe'la 27. C'Hab Wala's ikahsa' thegu hi'pa' kapiya'sat', hiyuya' pakwen'it', kihyt'ipa kapiya'ha hi'pa' k'a'sa' kimyuhpa yupya' ewumet'na."
agarrar,uwe-
en voz baja,susmée we'we-
araña,tupa
apartar,tyujnde-
arracacha,á's
hacer bajar,caysá'ja'j-
partear,tuty jya'ndy-
sabaleta,cue quiwe wendy
mugre,pta'nz
páramo,we'pe
culebra,ul
anaranjado,lemlem bej
cada día,een isa
asco,atsejy
guayaba,"cpiinda, pquiinda"
sueño,"csha'w, deewéeni"
picotear,cda'ndaja-
dar un paso,"chavy-, chavi'vi'-"
roncar,tjá'tja-
visitar,"pa'jya' yuj-, visitaí-"
oxidado,"inzu'ni, baytu'cni"
músico,cuvytewe'sh
vertical,quiitj
visiones,í'cjwe'sh
causar sentir 'señas',cta'ñi'j-
sopa,cujya
baile de la chucha,chucha cu'jni
engordarse,niishíi-(ñishi-)
patrón,amu
yucal,"ña ej, yá ej"
seso,pe'pe
selva,yu'cj wala
y,"sa‘, atsa'"
candelilla,"cupjy, ipy cjúch, ech cupjy"
anciana,penzh
hacer chupar,cchaanzha'j-
cresta,yacue
quitar,pajnde-
comer,ú'-
palo del telar,ñuwe
colgar,"chita-, chita'ta-"
parásito,pcha'cy
comprador,weysá
pernoctar,paandej-
alfarero,mituj umsá
vestir,"cjyú'ju'j-, caatje'j-"
puntiagudo,"chújwa, chújwe"
loro,well
apellido,quiwe yase
paca,ñu'py wala
madurar,íitsúu-
CARTA DEL TRADUCTOR,NASA YUWE F'I'N'ITE MAHISA WE'WEN'I
celebrar fiesta,"fiesta vit-, fiesta'j-, caascjéu'j-, yu'scjéw-"
soga,cú'p cja'tya
gritar,wayíi-
calle,clliicjun
dejar,nvijt-
canilla,"pil, chinda pil"
cobertizo,pwa'
descalzo,spaatu ji'pjmée
apuntar,jypey-
enjuagar,fyneecu'c-
autorizar,jycaaj-
así,"na'wé, tya'wé, cyá'wé"
casarse,iiyuu-
sombrear,pshú'jú'-
ponerse de acuerdo,puuty we'we
espantoso,"úucjúucj, úucjúucjsa"
humear,shi'ta-
regalar,"pees-, peesu's-"
ser castigado,ya'castigaí-
hijo menor,nchi'c nuuchsa
anunciar,pta'sh-
escasez,wéjé en
dificultad,tjéysa
cubrirse,yaapj-
malla,tsam ucje
morada,"u'pni, úsni"
andar de un lugar a otro,pecu'j-
valiente,úus chjáchjasa
hemorragia nasal,íts yachni
repetir,"peena-, peenana-"
prender,yutj-
húmedo,"tupj , le'le"
compañero,pi'qui
cosechar,shunde-
cerdo,cuchi
descascarar,"cupy-, tupy-"
consolar,cviisha'j-
mecer,wúw-
antes bien,wejyva
tarro de guadua,mum tuca
amarillento,atatelem
estar caído,weterra ús-
"Artículo 3. La soberanía reside exclusivamente en el pueblo, del cual emana el poder público. El pueblo la ejerce en forma directa o por medio de sus representantes, en los términos que la Constitución establece.","F'i'n'i pe'la 3. Nasa kuhsayu na'we c'ab wala kiwe kwekweyakh puuk' k'tey selpiwa'ha's itháasn'isa' naasa c'hab walayakhyuc'a ya'yu'skhewsa', naasa c'hab walayuc'ak ikahsa npicthe' kwekwepa's kac'hác'ha'ha' naapa'kate. Ma'wente ipu'kithwa' kasehte' nasa kuhyakhma'k ya'c'hác'ha k'a'we yuumec'a' npicthé'we's'yakhca'ma'k ya'yu'skhew napa ipu'kithya' ya'ewuna, ma'we ipeyn'i's."
largo,jyu'j
recoger,"fiwúu-, pcjacj-"
acequia,yu'waca
animal,niimal
quijada,cmbamba dyi'tj
pagar,paandewe-
sepultar,penda-
estar acostado,deeni ús-
hechicero,dyij yuusá
arraigar,iiwejtse-
comenzar,"tacj-, pú'tyj-"
anteriormente,nyafiitey
higuerón,chavytúu
todo el mundo,nasa iisa
emprestar,pqui'j-
dedo,cuse mush
dormido,"deeni, deeni úsa'"
mosquito,apj le'ch
enloquecer,luucu vit-
a través,"pesa'j, jypeesa'j"
pasajero,"scjéwsa, scjéwwa'jsa"
poner en el cepo o horqueta,teelu'j-
tropezar,"yu'chafy-, yu'spé'tj-"
chocar con,puuty ijca-
desplomarse,atscue-
acabarse,ptsu-
dejar pasar tiempo,caytjacue'j-
estar contento,"wechana ús-, wechana u'p-"
rajarse,"shish-, shishi'shi-"
"abajo, hacia abajo",-cjé
pozo,yu'pusu
caserío,"shamb, chjamb"
pescador,wendy uwesá
arco,taty
hacer cargar,cyaacje'j-
gallina,"atall, atall u'y"
oler,putáa-
viche,chacha
aumentar,cááajá'j-
espinilla,chinda ca'ca
deshojar,átsja-
regaño,ícy we'weni
batata,útj
gorrión,tyuj
fermentado,pus
echar,acj-
anguilla,pichga
entregar,ducj-
tallo de flor de cabuya,shá'shtu'j
tomar,"ntundy-, nuutundy-"
col,tyjá'
aborrecer,pyaj tse-
tío,"cajca, ncaaca"
enfrentar,pdyi'pu-
picar,ú'we-
moteado,fi'cue
zanjón,yu'quits
tarde,"fi'nze, cusni"
hacer estallar,cáapa'j
insuficiente,ájmée
hueso,dyi'tj
perico plomo,echtel
ayuda,pu'chni
rodear,cytandy-
lugar de habitación,u'pni
"El trabajo no podía ser un simple ejercicio individual de una persona que, manejando dos lenguas, se sienta en su escritorio y acomete, sola, la traducción. Por la dificultad del texto castellano por traducir, por la necesidad de buscar en las lenguas indígenas palabras y giros con usos o sentidos muy poco familiares a los hablantes, era imprescindible dar un carácter colectivo a la traducción y recurrir a grandes conocedores de la tradición por un lado, a ""personas-puentes"" por otro lado. Las personas-puentes iban a ser, en primer lugar, indígenas linguistas, formados casi todos en nuestro centro, pero también maestros, promotores de salud, líderes políticos, en general gente con un mejor conocimiento del mundo blanco ; los conocedores de la tradición serían según los casos : mamos, payés, chamanes, taitas y ancianos o sea líderes espirituales de las comunidades.","Naa mhiyu'sa' e'z yuwe we'weya' hiiweete teec'sac'a kac'hc'a kuki'ya' ewuwa'samekyu' Waas yuwete we'wena f'i'n'i k'a'we théysa f'ii úste, maapa nasa yuwe's we'weya' hiisa d'i'pte maa ústepa u'kana kúh naa we'wen'i' pa'hwa'ha's yahk'teyu' teec'sac'ame mhic'a nasawe's' yuwesu kuki'wa'k theg, sa' thé'sa, kwe's' úskiwe'n'i's we's'me hiisat'i ipi'k'na ki' K'te nasapwe's'i e'zahhuy kaykhewu'ya' áhsat'i pakwewa'k yuu; maaisa' aytey kapiya'n'isat'itha'w yaf' kah, v'ite' kapiya'sat', v'ite' kát'h f'i'zewa'te mhisat', v'ite' nasa walayakh mhisat'; waas f'i'zen'i'spa weh'kwe' hiisat'iku ya'ipi'k'."
mellizo,mellisu
hablar en voz baja,susmée we'we-
gato,mish
desprenderse,cja'tyite-
hacer cortar,caatwaca'j-
almohada,peendyiqui
cavar,cafi'j-
encerrar,cyuupj-
obligatoriamente,áandyijimée
rojo,bej
tomar,paatundy-
para ti,"indy jíi, i'cue jíi,"
obscuridad,"shi'ndy wala, chji'ndy wala"
suceder,ya'yuu-
a menudo,"tajta, tajtatey"
"molesto, molestoso",cuch
hacer demorar,caytéeyu'j
derribar,ujca-
roto,suteni
hoja,fytúu ets
ligero,tund
borracho,túusá
crespo,shú'sh
confrontar,iindyi'pu-
resplandecer,zuntete-
cortarse,ya'spé'tj-
asomar,jweelu-
alguacil,"luasil, nuasel"
reconciliar,yuwe ewúu-
pender,pé'tje-
pulgar,cuse njí'j
pagar deuda,yul ducj-
sembrado de maní,quítj ej
hacer del gran trabajo para el fortalecimiento general,h'ukaysa ya'c'hác'hawa' mhi wala kuki'n'i
acompañar,paayuu-
cobertizo,cuet pwa'
paraje de mariposas,smeme quits
lanudo,cjastjé'j
casco,jimba vyllili
hacer subir,caateca'j
lograr llevar,cpaanicy-
pecador,pcalsa
poner,paatj-
encorvarse,tuñi-
extender los brazos,tsja'ya-
biznieta,jweete ntsun
hacer callar,"shuuna' vit-, shuuna' nvijt-"
oxidarse,baytu'c-
mocho,much
al revés,ca'tu tupyrra
mojar,catu'j-
lanza,we'tj
ahogarse,caambutsj-
conocido,jiyunisa
cilantro,me'sucue
paludismo,yaawee
postrero,nmejtewe'sh
vaca,cía u'y
tener dificultades,tjéyte ñuste fi'nze-
uno tras otro,vit vite
legaña,yafy chic
novia,nyuu yuuwa'jsa
sed,yú'wéeni
gemir,pembée-
cada persona,nasa lisa
conmigo,"andy yacj, ú'cue yacj"
vistazo oblicuo,yafy menzu
por la mañana,cusíi
muñeca,cuse pétyj
cueva,cafy
enloquecerse,luucu yuu-
hacer creer,caacreí'j-
tristemente,"ñusñus, yúsyús"
hoja de mejicano,peets tyja'
hacer enfrentar,caapdyi'pu'j
hecho,vitni
entender,ya'jiyu-
picadura,pinzh
lejano,jyu'juwe'sh
ganar,cnay-
hacer nido,yaatu'j
alegrar,wechwecha caayaqui'j-
pelar,tupy-
inmoralidad,canzh yuuni
apuntar,etste ásh-
infierno,infiernu
cabecear,caawúwu-
hacer reunirse,caapcjaacje'j-
compadecer,peeygáj-
chichería,beca yat
raspar,"tupinde-, dyindy-"
arrodillarse,peejyúcue-
ser sobrenatural,vitywe'sh
mandar cortar,caaspétje'j-
enemistarse,iipuii yuu-
permitir amanecer,nuype'te-
arrugar,shú'sh-
hacer sonar,csuusu'j
hilar,pund-
cuello,tyjicj
tinieblas,"shi'ndy, chji'ndy"
verdaderamente,íshiimée
traer,"nuycáj-, nuycúj-"
ardilla,shuma
felicitar,wecha pu'chj-
al principio,"nyafíi, nyafiitey"
emborrachar,ctú'j-
habitante,u'psa
"Artículo 329. La conformación de las identidades territoriales indígenas se hará con sujeción a lo dispuesto en la Ley Orgánica de Ordenamiento Territorial, y su delimitación se hará por el Gobierno Nacional, con participación de los representantes de las comunidades indígenas, previo concepto de la Comisión de Ordenamiento Territorial. Los resguardos son de propiedad colectiva y no enajenable. La ley definirá las relaciones y la coordinación de estas entidades con aquellas de las cuales formen parte. Parágrafo: En el caso de un territorio indígena que comprenda el territorio de dos o más departamentos, su administración se hará por los consejos indígenas en coordinación con los gobernadores de los respectivos departamentos.","F'i'n'i pe'la 329. Nasasa ikah kiwe v'itwa'ha'sa' naa c'hab walate ikahsa npicthé'isa mptepa' ikahwa'ha's suk'tad'c'a nv'ituna, Ec Ne'hwe's'hu yuhsa Kiwe Yuwe Yu'skhewsa ma'hína we'wete. K'aha' kiwe yuwetewe's' Ec Ne'hwe's'a' f'ii v'ituna; napa nasa h'ukaysa teec' hwedc'a ikah kiwe's yahk'ya' tudu ha'da; ki' k'atewe's' newe'wen'isa npicthé' d'ipte. Tudte f'i'n'i pela 38te Ec Ne'hwe's'tewe's' we'wen'i's k'tey yuuna. Napa nasasa kiwe' h'ukaysahí', naa kiwe' nasasame iamuna úswa'me'. V'ite ikah kiweyakh ma'we puuk' f'i'zewa'ha'sa' Ec Ne'we's'hu yuhsaic'a k'a'sa' we'wena. KU'TA : Yacte t'uden'i kiwesu e'z ithakwe nasa ikah kiwe puuskhewna úste', k'a's ikahwa'ha'sa' nasasate Yuwe Dukhsawe's' pkhakhen'iyakh k'tec'ac'a pd'i'puc'acehk thegut'na."
prestar ayuda,"cuse peequi'j-, cu'ta peequi'j-"
cargar,at-
adelantar,yatsqui'p-
reconocer,jiyu-
mandar barrer,cpandu'j-
planchar,planchaí-
hacer cosquillas,"lechíi-, quele'j-, cleechi'j-"
habitar,u'pu-
cernir,a'tsja-
acalorarse,yacha-
entumirse,nish dej-
echar ranas,shá'py-
pecho,pechu
promover un asunto,peescatyjí'-
hijastro,nchi'c npaasa
mudarse,muvijty-
laurel de cera,sela
nalga,"yuc, yuc chich"
afuera,"eca, ecate"
alegrarse,wechwecha yajcy-
empollar,á'pjy-
ligero,"acha, acha acha"
calcañar,tásh
ser saludado,ya'wecha-
"cuí, conejillo de Indias",fitsj
dueño,namu
temible,juuna'sa
alrededor,pecu'j
ya,yá'j
llama,ipy cleechi
doblar,tpejng-
racimo,pland pjapj
cocer maíz con ceniza,plaaíi-
criatura,luuch le'chcue
tía con sobrino o sobrina,pnjí'yacue
sobrar,quijyáa-
idioma,yuwe
bisabuelo,papa lul
agüinche,jwéenzh
podrirse,"wa'wa-, chimby-, chiiwa'wa-"
hacer coger,cuwe'j-
papal,ca'ga ej
convivir,ij fi'nze-
celos,iipyáani
ciénaga,tyity wala
barrer,pand-
pasar lista,etste pa'ya-
freno,plenu
resucitar,qui' ítyí vit-
mes,a'te
"ese, esa","cyáa, tyáa"
soplar candela con canuto,yutj-
vacilar,cuj yajcy-
mandatario,jycaajsa
limpiarse,jycjúucj-
dejar crecer el pelo,cjyu'ja'j-
suave,wajwa
retorcer,"tswend-, tswendu'ndu-"
sacudir,"sajcue-, sacueecue-"
rechazar,e'scjé nvijt-
sacar,cashish-
tiesto,chi'la
ocultarse,paatsúu-
maíz capio,cutyj wajwa
perjudicar,niipeetje'j-
desinclinado,wa'lsa
cusumbe,cátsa
tumbar,pétyj-
hacer cantar,cmeemu'j-
hoz,usa
despedazarse,shate-
mandar sentarse,caatywete'j-
guama,afy
hacer caso omiso,nwéese'jmée-
llegar de un viaje,ícj-
pedernal,"pety cuet, ipy cutyi'jni cuet"
hacer toser,cpjája'j-
caliente,acha
grano,wá'jy
atardecer,"fi'nze-, cus-"
dejarse alcanzar,ya'cpajcy-
cerumen,tjú'wé chica
hablar,we'we-
cabello,dycjas
ataúd,taul
costado,tamby
hace poco tiempo,tyachmée
canción,mem
suya,i'cue jíi
encogerse,spate-
comestible,ú'nisa
sapo pequeño,tsunz
hacer brincar,cuupjú'j-
café,café
ciego,yafy ji'pjmeesa
taza,tasa
ulluco,shwi'la
maestro,"caapiya'jsa, peevya'sa"
trampa,yajcy
reducir,nuyle'chi-
avisar,"pta'sh-, yuwe pta'sh-, pta'shi'sh-"
hacer tener pereza,cwa'lu'j-
caballo,jimba
haberes de la tierra,Kiwe n'is'
quitar enjalma,cjalma spajcy
suegra,"nyu njí'j, ntsuuts"
poseer,ji'pi-
querer,wendy-
lindero,lllnderu
atascarse,zu'cy-
vez,us
burlar,"weech-, weech we'we-, npeevyshijca-"
apisonar,tjetjée
alborotar,csuusu'j-
hacer estirar,cayzunzu'j
abiertamente,"aate, aaga"
perder de vista,pu'vitu-
cobijarse juntos,yá'py-
dos veces,e'nz us
ponedora,duusá
rana,sap le'chcue
ponerse liso,lavy-
poder,ikahn'i
Cuerpo de poder social protector del andar en armonía,C'hab wala kiwete wét u'hun'i's nwe'wena ikahsa kwekwe
encontrarse con otro que viene de rumbo opuesto y pasar,pu'jycjéw-
mojado,"le'le, tyity, túupja'ñi"
basura,cytá'
siete,siete
prometer,úsya' neeyúu-
varias veces,cuj us
contener,ji'pju-
trabar,atsju-
urdir,pcamb-
ponerse amarillo,"lem yuu- , lemúu- shquiicy yuu-"
ante,"dyi'pte, tashte"
quienquiera,"quimva, maava"
calambre,sháacáj
Vía Láctea,á'mush
revolcarse,peluulu-
estar ausente,mee-
ají,áwá
cuajar,lechi's cweeji'j-
empapar,pjach-
"como, lo mismo que",na'wé
quitar,"cusa'j- , ncuusa‘j-"
chillar,pembée-
equivocarse,jypumba-
escuela,scuela
encargo,"paawe'weni, neecaawa'j"
hacer llover,"nus caapa'ja'j-, nus jyamby-"
volverse perezoso,watycue yuu-
codicia,vite ji's ji'pju wéeni
pesado,duj
charlar,twéeji-
persona que habla páez,nasa we'wesa
derrumbe,ejy u'cj
blancuzco,chijmchijme
ovillo,cjas wájyand
"Lagunas, cañadas, valles, ríos y montañas son fieles testigos de que los indígenas hacemos parte fundamental de la naturaleza y como tal somos los dueños de nuestras tierras tradicionales.","Íkh ústa', kic wala, yu' wala, thá', yu'kh wala, tkaaf', isate' k'ac'ah kwe's'ti K'a hi'tecehkpu'ze'na ústa' naa pa'kate kwe's'a' manteyyu naa kiwe naamutha'w."
desmenuzar,muuse'j-
rebanar,ú'tsj-
días hábiles,mjíi en
pero,"nava, napa"
poner,atyaj-
brujo,"dyij yuusá, mestlu, tjé'j"
desclavar,"fyutstende-, fyutsunde-"
lo perteneciente a los descendientes,zuunwe's'hi nenyusa
"verbena, escoba babosa",pchanga
recibir,jypa'ga-
siempre,bagachteva
linaje,ji'j
aullar,"pembée-, ú'ne-"
mochila,ya’ja
asunto de terrenos,quiwe yuwe
hacer servir,"cselpi'j-, caaselpi'j"
empajar,tsjíts um-
gobernante,jycaajsa
rollo,tpand
risueño,pshiica
dar a la hija en casamiento,caaimi'a'j
cosechar,waca-
clavija,claapjica
tronco,tá'sh
caldera,calderu
vaciar,jyaw-
fornicadora,pdeeu'y
al fin,nmejte
permitir buscar,cpaacue'j-
pegar,uyí-
molino,milinu
pisotear,waacji'cji'j-
asimismo,"tyá'wéy, cyá'wéy"
afligirse,ñusu-
vomitar,"punga-, punga'nga-"
tierra lejana,jyu'j quiwe
desconocido,jiyunimeesa
jardín,quite ej
estar callado,"shuuna' ús-, shuuna' u'p-"
mayor,neej
enfriar,fiinze'j-
gordo,nish
casi,dyíji
teta,chu'ch
mandato,"caajni, jycaajni"
"o, ó","meerra', meerrava"
garrapata,wacú
hora,ora
maíz pirá,cutyj mush
fuego,ipy
ladrar,vijcy-
"como, ¿cómo?",na'wé
enderezar,cu'le'j-
sobaco,punza cafy
baile de la chucha,chucha cu'jni
yerbatero,jyútj vissa
posar,cach-
carbón,"chjá'chja, i py chjá'chja"
estrangular,tjuc-
incomodarse,úuscha yajcy-
contestar,pas-
madrastra,njí'j npaasa
madre,njí'j
calavera,uusá jycuet dyi'tj
igual,"ja'nda, fiymée"
corazón,úus
rajar,"pétsju-, pétsjutsju-"
ajo,acjus
crin,jimba dycjas
poner espantapájaros,caanasa'j-
frío,etse
fortalecerse,chjáchja-
sonar,susu-
nadie,quím yujva
dar de beber,"yus-, yusuus, yusu's"
amargo,yaj
dar de comer,"puuts-, puutsuts-, sájí"
bautizar,yase-
"Artículo 1. Colombia es un Estado social de derecho, organizado en forma de República unitaria, descentralizada, con autonomía de sus entidades territoriales, democrática, participativa y pluralista, fundada en el respeto de la dignidad humana, en el trabajo y la solidaridad de las personas que la integran y en la prevalencia del interés general.","F'i'n'i pe'la 1. Kulubyate c'hab wala kiwe' ít'i f'izen'i's nwe'wena ikahsa' Ec Ne'hwes'te ikwehkwesa', isa ic'hac'ha eenteyu' tekh hwedte ipu'kithwa' hi'psa'. Ma'we phewu'n'ina, Kulubya' teec' hwedsac'a'; mte mte kiwetepa áhc'a ikahwa'sa', peek'i ikah kiwete' peek' úushu fi'zewa' hi'pta'; sa' naa kiwete' f'iiy f'iiy úus yaak'sayakhpa pekhakhena úswa'ha'. K'a'weyc'a npicthé'a'sa' c'hab walaku ki'pu'. Ma'we neesn'ina, fi'zen'i h'ukaysahi wétte eena' eena' puuk' eh thegwea'ha'sku we'we, peeh'sapwe's' puuk' pu'c'hwa'ha's; h'ukaysa mahiwa' hi'p; k'azsaynas úuspeyi ha'date c'hác'hawa' hi'p."
timidez,paayúucjweete
sabroso,ñuspa'
destruir,"suw-, pemba-"
aprobar,"ewna jí-, ewa' j í-"
estar,ús-
agriarse,pus-
inclusive,pety
reunión de vocero(s) o representante(s) de arriba,éete Yuwe Dukhsa pkhakhen'i
dar cambio,muushi'j-
salvador,nwe'wesa
ahijada,"neeniisa, iicjala"
hacer pagar,cdeewe'j-
aclarar,cjicy-
biznieto,jweete ntsun
enojar,caaúuscha'j-
aprisa,dund
hacer sombra,iipshú'j-
enmohecerse,chuuma'ma-
